PMCID,ID,Label,Selected Text,Start,End,Valid Prompt
3707735,12036,significantly increase,"Group A patients also showed significant: 1) improvement in the degree of dyspnea (VAS: p < 0.05; Borg: p < 0.05; MRC: p < 0.001; BDI1: p < 0.05; BDI3: p < 0.03), and independence level in activities of daily living (p < 0.03); 2) improvement in quality of life in activity section (- 6.63 pt) and in total score (- 5.43 pt); 3) exacerbation number decrease (p < 0.02). No significant differences were found (end of study vs baseline) in group B",5306,5751,True
3575558,11776,no significant difference,Degree of improvement in total naso-pharyngeal symptoms between subject with and without heated humidifier (p = 0.043).,19521,19658,True
3672764,13147,significantly decreased,"All treatment groups were characterized by a general reduction from baseline in hs-CRP from initiation of treatment to the safety follow up at day 31 (Figure 4). At day 4, these reductions were significantly greater with rilonacept plus indomethacin (P < 0.0001) and rilonacept monotherapy (P = 0.0142) relative to indomethacin monotherapy.",28882,-1,True
3744251,12436,significantly increase,"annual average total costs per-test for study group and control group was 1.57 ± 0.23 vs 2.08 ± 0.38, P value 0.019 respectively,",4894,5041,True
5851005,12918,no significant difference,"during the AP, the aprepitant and standard therapy groups achieved identical CR rates (98.0%, P =1.000).",6381,6486,True
1994017,11659,significantly decreased,fondaparinux significantly reduced the occurrence of the primary efficacy outcome (death or recurrent myocardial infarction) by 14% (p=0.008).,2434,2577,True
5729492,12667,,no data,-1,-1,False
5755650,13388,no significant difference,The absolute change of urinary albumin excretion showed no significant difference between the amlodipine group and the benidipine group,21269,21405,True
5836868,13371,no significant difference,Patients randomized to alogliptin achieved lower HbA1c levels than the placebo group in all baseline HbA1c categories without differences in hypoglycaemia rates,10345,10609,True
4272222,13125,significantly increase,"In the SSTS group, patient global assessment and health care provider global assessment ratings of good or excellent were greater than placebo at all time points (P < 0.01).",5447,5641,True
3733617,13259,no significant difference,"did not find a statistically significant effect of a small unconditional non-financial incentive (in the form of a pen) on survey response rates amongst GPs (Odds ratio, 95% confidence interval: 1.85",4303,4503,True
5762815,12958,no significant difference,no significant differences between the intervention and control clusters in the proportions of facility births (53% vs 54%; p=0·73) and deliveries facilitated by skilled birth attendants (54% vs 56%; p=0·53,44620,44860,True
1618389,11428,no significant difference,The average number of correct answers for LMQs and OEQs showed no significant difference (p = 0.93).,5411,5512,True
3718630,12344,significantly increase,"Women in the intervention group self-reported walking for leisure for 14 min/day more than those in the control group at 28 weeks’ gestation (95% CI 5 to 23 min, p = 0.003).",54878,55052,True
1783667,11504,no significant difference,"Sallis Self-Efficacy for Diet and Exercise
UC	4.1 (.58)	3.8 (.71)	3.9 (.71)	3.8 (.66)	14.51***	1.33
MLP	4.1 (.59)	4.1 (.54)	4.0 (.59)	4.1 (.62)",49048,49461,True
1403758,12922,no significant difference,"There was some evidence that averaged over fenoterol dose and genotype terbutaline decreases FEV1 compared to placebo (P = 0.027) by an estimated 1.58 (SE 0.68) percent points. Only for genotype I/I this decrease reached statistical significance (see table 5). Adjustment for multiple comparisons, by for instance the Bonferroni correction, reduced all these findings to non-significance.",31003,31441,True
3478157,12371,no significant difference,"There was no significant difference in the changes in sperm count, semen volume and sperm motility between the two treatment groups",35575,35706,True
102323,11299,significantly increase,The improvement in Lequesne's functional index also differed significantly between the EA and placebo group,5312,5419,True
1810369,11226,significantly increase,Statistically significant (P < 0.05) improvements in favor of the intervention were present for the HIT score,3910,4037,True
3606616,11813,significantly decreased,"Experimental group infants, who latched on, had a significantly shorter median time from start of intervention to regular latching on than control infants, 2.0 weeks (Q1 = 1.0, Q3 = 3.7) vs. 4.7 weeks (Q1 = 2.0, Q3 = 8.0), (p-value = 0.020).",5381,5667,True
5723032,12286,,no data for CSF alone,-1,-1,False
5986495,13204,significantly decreased,Hunger ratings were lower in SUC as compared with WAT (t17 = −2.71; p < 0.05) and NNS (t17 = −2.66; p < 0.05).,41166,41339,True
4272222,13123,significantly increase,"Summed pain intensity difference over 48 hours was significantly higher in the SSTS group than in the placebo group (least squares mean [SEM], 105.60 [10.14] vs 55.58 [13.11]; P = 0.001).",5068,5273,True
59901,11224,significantly increase,7/14 questions previously rated as mis-specified in the Intervention Group had all dimensions described at follow-up (p = 0.008) while the Control Group did not show any changes from baseline,4954,5162,True
4282697,12279,significantly increase,"The 2- and 5-year recurrence-free survival rates were 68.5, 41.4 and 56.8, 26.2 % in groups A and B, respectively. Those differences were also statistically significant (log-rank test p = 0.0020).",4510,4724,True
3558408,12613,significantly increase,The ventilation rate (median (IQR)) at a C:V ratio of 15:2 (14 (13–15) per minute) was significantly lower than at a ratio of 3:1 (30 (29–30) per minute,22371,22523,True
4166055,12824,no significant difference,"The mean SBP at min 2 and min 5, mean of DBP at min 2, 5, and 15, mean of HR at all time points and mean of MAP at min 2 and 15 between groups were no significantly different (P > 0.05),",4023,4227,True
5758851,12004,significantly increase,Tear volume in the 0.1% CO treatment group was significantly greater than those in the other groups (all P < 0.01,30428,30558,True
3652643,13001,no significant difference,"15 (28%) of the control group and 11 (22%) of the intervention group were receiving medication for mood problems and this difference was not statistically significant (chi-square = 0.15, P = 0.70",43665,43877,True
5830087,12880,no significant difference,All other clinical endpoints also favored the BTH1677 arm but none statistically differed between arms,8030,8132,True
5851005,12917,significantly increase,A CR was achieved by 80.0% in the aprepitant group compared with 56.0% in the standard group during the OP (P =0.018)as well as during the DP,6229,6370,True
5883519,12469,significantly decreased,"subjects in the rhGH treatment group had significant reductions in BMI standard deviation scores (SDS) compared with controls (2.32 ± 0.85 vs. 2.80 ± 0.61; P = 0.041),",4762,4947,True
3488187,12205,significantly increase,"significant improvement in progression-free survival with erlotinib (unadjusted HR 0·83, 95% CI 0·71–0·97, p=0·019; adjusted HR 0·80, 0·68–0·93, p=0·0054);",21463,21619,True
5789504,12488,significantly increase,ease of intubation were found to be more in C-MAC D-Blade group than in Macintosh group (P < 0.05).,4760,4880,True
1904193,11499,no significant difference,"However, the 95% confidence limits were overlapping, suggesting no statistical difference between the groups",5735,5843,True
5801240,12227,significantly decreased,"greater reductions from baseline in SBP were observed in the ertugliflozin groups at week 52 (Fig. 2c). LS mean changes from baseline at week 52 were − 3.8 mmHg (− 4.9, − 2.7), − 2.2 mmHg (− 3.4, − 1.1) and 1.0 mmHg (− 0.1, 2.1) in the ertugliflozin 15 mg, ertugliflozin 5 mg, and glimepiride groups, respectively.",34985,35339,True
5801240,12227,significantly decreased,(p < 0.001 vs. glimepiride).,35510,35556,True
5801240,12227,significantly decreased,Reductions from baseline in DBP were also observed in the ertugliflozin groups compared with the glimepiride group (p < 0.05;,35556,35702,True
5891027,11787,significantly decreased,Phenylephrine infusion significantly decreased heart rate (P = 0.02) and pulse pressure variation (P < 0.001).,11946,12090,True
5041384,12763,significantly increase,Yoga group showed statistically significant (P < 0.001) reduction in aggression,4533,4639,True
1891439,11577,significantly decreased,"Median (95% confidence interval) fever clearance times were 92 hours (84–114 hours) for gatifloxacin recipients and 138 hours (105–164 hours) for cefixime-treated patients (Hazard Ratio[95%CI] = 2.171 [1.545–3.051], p<0.0001).",7958,8185,True
3664372,13013,no significant difference,"In the AAIR group 209 patients (29.6%) died versus 193 (27.3%) patients in the DDDR group (unadjusted HR 1.06; 95% CI 0.88 to 1.29, p=0.53).",27919,28060,True
5498774,12955,significantly decreased,statistically significant reduction in hospital stay from 17.8 to 11.8 days (p<0.002) for patients treated with broad-spectrum antibiotics,5570,5725,True
4917592,12327,no significant difference,"Daytime heartburn during treatment was a borderline significant predictor (adjusted OR 2.66; 95 % CI 0.93–7.63; p = 0.0678),",29098,29240,True
1570354,11653,no significant difference,median number of days with no use of relief medication was 63% in the SFC group and 61% in the FBC group,25369,25474,True
1570354,11653,no significant difference,There was no statistical difference between the groups,25616,25671,True
4756949,12501,significantly increase,"FEV1, FVC, FEF25 and FEF25–75 values decreased on postoperative day 1 (39.7%, 37.4%, 27.7%, 51.8% respectively) in the open surgery group and they were significantly lower in laparoscopic group (29.9%, 32.5%, 23.2%, 44.5% respectively).",4790,5060,True
58836,11371,no significant difference,Intensity of prescribing of blood pressure lowering drugs was not significantly different between the two groups,4252,4365,True
3580671,12420,significantly decreased,shorter duration of meropenem therapy (7 (6 to 8) days vs. 8 (7 to 10) days; P = 0.035),6309,6414,True
3261693,12167,significantly decreased,postsurgical uveitis recurrence rate was lower in implanted than non-implanted eyes (26.5% vs 44.4%; P = 0.0433,4822,4950,True
88884,11186,no significant difference,People who use tobacco are popular and glamorous . .	93.2	91.3	N.S.	96.9	N.S,24873,25064,True
3707772,12292,no significant difference,"levels of parathormone and of 1,25diOH-vitamin D3 significantly increased in both groups,",7281,7371,True
3707772,12292,no significant difference,"1,25-di-OH-vitaminne D3, ng/l
49.1 (18.7)*
49.3 (18.4)*
0.97
25 – 60",26377,26650,True
5812877,11844,no significant difference,Saliva flow rate was not significantly (p = 0.949) different between the hot (0.32 ± 0.08 ml/min) and cool (0.27 ± 0.05 ml/min) trials,5861,6015,True
3606371,12096,significantly decreased,"The percentage activity impairment due to health in all patients, as assessed by the WPAI:GH instrument, was improved more substantially in the ETN + MTX group compared to the DMARD + MTX group, by 49% compared to 29%, respectively",40001,40232,True
4021157,12658,no significant difference,There were no statistically significant differences in levels of satisfaction between the three trial groups.,41784,41894,True
3474775,11807,,"study of lisinopril (L) (10 mg daily) vs L-placebo in combination with pravastatin (P) (20 mg daily) vs P-placebo among participants receiving ART with undetectable HIV RNA levels, there is no comparison between placebo groups",-1,-1,False
3698174,12345,,"study of lisinopril (L) (10 mg daily) vs L-placebo in combination with pravastatin (P) (20 mg daily) vs P-placebo among participants receiving ART with undetectable HIV RNA levels,",-1,-1,False
5369684,12957,significantly increase,"people with dementia receiving iCST rated the relationship with their caregiver more positively (MD = 1.77, 95% CI 0.26–3.28; p = 0.02),",17678,17832,True
5817800,12803,no significant difference,There were no differences in the macular hole closure rate between groups (p = 0.85).,6289,6392,True
5838794,12270,no significant difference,weight losses did not differ by condition,7148,7189,True
1501010,11336,no significant difference,"From the 31 experimental group patients that completed T1 assessments, 7 (22.6%) improved clinically compared to 3 (10.7%) of the 28 control patients (chi square = 1.472, p = 0.22). At T2, 15 of the 29 experimental group (51.7%) and 11 of 26 (42.3%) controls were improved (chi square = 0.488)",27099,27393,True
2526991,13094,significantly increase,The duration of therapeutic effect of Garcinia kola was longer than the placebo (p > 0.001).,6251,6367,True
3872578,13055,no significant difference,The mean arterial blood pressure was not statistically significant different between two groups (P = 0.72).,15296,15420,True
57751,11284,significantly decreased,Triglycerides were significantly reduced by about 23.0% and fibrinogen by about 14.0%.,3707,3794,True
57751,11284,significantly decreased,All of these effects were highly significant (P < 0.0001).,3868,3944,True
3525331,13143,no significant difference,there were no significant differences between the two groups in analgesics consumption (P > 0.05).,7852,7979,True
5986584,13171,significantly increase,Subjects in the intervention group had significantly more weight loss (WL:−3.7 ± 0.5 kg; Control:−1.6 ± 0.5 kg; p=0.007),6579,6700,True
4681166,12811,no significant difference,There were no differences in the changes between the different supplemental groups for the absolute FFM changes,43507,43618,True
4391304,12993,significantly increase,fecal fat level after FM intake was significantly increased compared with that observed before FM intake in the LG2055-containing active FM group but not the control FM group lacking LG2055,5712,5901,True
3717762,13285,no significant difference,"AEs were reported for 40.5% (122/301) of bimatoprost PF and 44.1% (130/295) of bimatoprost patients (p=0.382),",33793,33904,True
4210946,13220,significantly increase,"a significantly greater proportion of girls in the intervention group (27/48, 56%) compared with the control group (14/71, 20%) identified breast cancer",47912,48065,True
4391192,13377,no significant difference,No group differences were found in urinary melatonin levels and cortisol levels,5157,5237,True
5749033,12679,no significant difference,no significant changes were found in the MVC (P>0.05 for both groups).,4106,4177,True
3580725,12671,significantly decreased,"Patients treated with SLED needed fewer blood transfusions (1,375 ± 2,573 ml vs. 1,976 ± 3,316 ml, P = 0.02) and had a substantial reduction in nursing time spent for renal replacement therapy (P < 0.001)",7755,7994,True
5457616,12136,no significant difference,"there was no statistically significant difference in Urea, Creatinine, Triglyceride, Cholesterol total, HDL-C and LDL-C between or within the groups at the end of the study (P > 0.05).",30963,31165,True
3767897,11715,no significant difference,The radiographic and clinical outcomes did not show significant difference between two groups. The average bone union period was 11.7 weeks in group I and 12.1 weeks in group II,4482,4659,True
3580725,12672,significantly decreased,"patients in the SLED-BD group had significantly fewer days of mechanical ventilation (17.7 ± 19.4 vs. 20.9 ± 19.8, P = 0.047) and fewer days in the ICU (19.6 ± 20.1 vs. 23.7 ± 21.9, P = 0.04).",7528,7755,True
4132222,12720,significantly increase,"proportion of participants with a $10% decrease in average lesion area was significantly higher in the CPA group than the placebo group at weeks 3 (P=0.05) and 6 (P=0.02),",4943,5149,True
5001793,13306,no significant difference,Pain intensity in the PACU and morphine consumption was not significantly different between the TAP and ILI+IHG groups;,27554,27674,True
5812981,12406,no significant difference,No significant differences were observed across groups at 12-week follow-up in terms of adherence to pharmacological treatment (Fisher exact test P value=.98).,30294,30471,True
4173573,12645,significantly decreased,The incidence of postoperative rescue analgesia was significantly higher in group R compared with groups RM and RD.,4414,4530,True
1578590,11411,significantly increase,"Beta-blocked patients who received early atropine (Group A&B) had a significantly lower double product (p = 0.008), a higher mean test time (p = 0.010)",4832,4984,True
3532036,12512,significantly increase,"the one-year survival rates were 93.3% and 46.6%, respectively (χ2 = 7.777, P < 0.05).",4081,4199,True
5758851,12006,no significant difference,"the 0.001% CO extract group did not differ significantly from the EDE and BSS groups in terms of TBUT. (1.68 ± 0.14 s; P = 0.27 and P = 0.98, resp.).",31248,31431,True
65683,11644,significantly increase,"Mean of daily steps was significantly higher in the exercise group from about 6,800 to over 8,500 steps (P < 0.01).",4393,4526,True
3636944,12623,no significant difference,The intergroup comparison of PI scores and PPD showed no significant difference (data not shown).,11949,12046,True
1526611,11606,no significant difference,Celecoxib was not significantly different from placebo in this analysis (P = 0.069).,6838,6940,True
3580299,12408,no significant difference,"The number of ESWL sessions was 1.34±0.65 and 1.41±0.85 in groups 1 and 2, respectively (p=0.33).",4699,4797,True
4769147,13463,significantly decreased,"Llevels of bilirubin above 200 umol/l were found in 8 cases (16%) in the CLF group and in 18 cases (36%) in the control group. This difference is statistically significant (p-value 0.02),",49129,49317,True
1794254,11232,no significant difference,URO transiently increased urine sodium excretion from 22 ± 16 μmol/min (mean ± SD) to 78 ± 41 μmol/min (P < 0.05) and there was no effect of placebo (29 ± 14 to 44 ± 32).,4085,4256,True
1326200,11222,no significant difference,"There were no statistically significant carryover effects for any of the baseline, end challenge, or recovery values for systolic and diastolic blood pressure, oxygen saturation, heart rate, and respiratory rate",44232,44443,True
5737953,13688,significantly decreased,The primary parameter was the difference in median time to complete encrustation or epithelialization,4471,4573,True
5737953,13688,significantly decreased,The predefined clinical situation was reached after a median of 4 days with propolis and after 5 days with aciclovir (P < 0.0001).,4815,4963,True
5769198,12114,no significant difference,There was a nonsignificant improvement between the groups for the social interaction scores after 5 years (P = 0.141).,20363,20499,True
1849920,13853,significantly increase,"the mean urinary mercury concentration was significantly greater among children in the amalgam group (0.9; range, 0.1–5.7 μg/g creatinine) than among children in the composite group (0.6; range, 0.1–2.9 μg/g creatinine) (p < 0.001).",21604,21853,True
4788673,12137,no significant difference,"comparing group 3 (sandwich e-learning) with the other groups (post-course learning alone, pre-course learning only, and classroom-based), no significant differences were found both in test D and test E (p = 0.3; p = 0.5)",21214,21470,True
5725027,13712,no significant difference,The pressing times of analgesic pump and rescue tramadol were not significantly different between the two groups (P > 0.05).,5299,5424,True
5789502,13615,significantly decreased,Postoperative pain scores and postoperative agitation score were significantly lower in Group D0.3 than D0.15 at all time intervals (P < 0.05).,4875,5060,True
3616693,13526,significantly increase,Intergroup comparisons showed that the MMC group had the longest sustained IOP-decrease period,18775,18869,True
3775760,13798,no significant difference,"There was an apparent response in area under the curve (AUC) for Rev (p = 0.012 before correction for multiple tests) for the 12 mg Opal-HIV-Gag(c) group compared with pooled placebo participants (n = 8) (data not shown; these data are described more fully in a separate manuscript), but this was not significant",28804,29117,True
3767897,11718,no significant difference,There was no significant difference in the mean KSS between group I and group II (92.1 vs. 94.3; p=0.419).,17592,17699,True
5980306,11674,significantly increase,Dust and endotoxin concentrations were significantly reduced in the LD units compared to the HD units.,34816,34919,True
5980306,11674,significantly increase,"In the HD units, the maximum number of 400 viable fungal CFU (28.3 × 103 CFU/m3) was reached very often, with an odds ratio of 102.65 (95%CI 20.54–994.70) for HD versus LD units",42009,42208,True
4769147,13461,no significant difference,"We found no evidence of difference between treatment groups in the rates of exclusive as well as any breastfeeding at discharge (p-value 0.2 and >0.99 respectively), 3 months (p-value 0.12 and 0.10) and 6 months of infants’ age (p-value 0.45 and 0.34 respectively).",11235,11501,True
5819580,12932,no significant difference,"AEs were mild-to-moderate in intensity, and their incidence was similar across the three treatment groups.",5034,5141,True
4717613,13510,significantly decreased,"In the control group, the patients’ albumin levels decreased to 25.71 % of the baseline on the postoperative third day, but this reduction was only 14.69 % for nutrition program group patients and the difference was statistically significant (p < 0.001).",5204,5476,True
5725027,13714,no significant difference,the incidence of vomiting and antiemetic drug administered had no difference between the two groups,30879,30978,True
3656395,13733,no significant difference,"the comprehensive programme did not result in statistically significant improvements in the diabetes outcome measures (HbA1c, blood pressure, cholesterol, BMI).",30707,30868,True
4666408,12872,no significant difference,"mortality in malignancies was performed, with no differences between the two groups (active treatment: 20/221 vs. placebo 19/222; χ 2:0.03; P = 0.86).",46025,46220,True
4113172,13560,significantly decreased,"In both ILS and metformin groups, CRP values at EOS were significantly lower than the corresponding placebo group values",25096,25216,True
1277845,11459,no significant difference,"Postprandial lipemia (dAUC of triacylglycerol) was, compared to the control trial, +2% (P = 1.00), -14% (P = 0.24), and -15% (P = 0.23) in the 30, 60, and 90 min walking trials, respectively",4581,4771,True
3931289,13625,no significant difference,there was no difference between groups in change in FEV1 or FVC percent,22729,22812,True
4947120,12241,no significant difference,"SCCQ-rewarding	CT (sd)BT (sd)	8.35 (5.12)7.95 (6.73)	4.23 (4.95)4.18 (6.12)	5.41 (6.08)5.33 (5.92)	1.120.91	0.660.74
SCCQ",33349,33750,True
5654748,13472,significantly increase,The Web 2.0 group had a significantly greater average number of days per week with a step comment in comparison with the Web 1.0 group at 0–3 months,39915,40063,True
2797957,13880,no significant difference,"no difference in sensory scale (P = 0.65; SEM 3.3; 95% CI −5.39 to 8.44), affective scale (P = 0.81; 1.3; −3.0 to 2.4), VAS (P = 0.24; 1.0; −0.91 to 3.4), and present pain intensity (P = 0.57; 0.53; −0.79 to 1.4) between study cohorts",21524,21826,True
5710015,12913,significantly increase,the head was tilted back more often during intubation for N group than for M and A groups (p < 0.01).,20094,20216,True
5852933,13450,significantly increase,sodium ascorbate application significantly improves bond strength compared with control and PA application [,17935,18043,True
5840469,13033,significantly decreased,"Times of balloon dilatation in the PGA plus stent group were less than those in the stent group [4 (2-5) vs 6 (1-14), P = 0.007].",5851,6015,True
4717613,13511,significantly decreased,Complications developed in 12 patients (44.4 %) in the control group compared to 6 patients in the nutrition group (p = 0.049).,5476,5624,True
1177952,11247,significantly decreased,LVEF ≤ 30% was observed in 18% in the controls and in 12% of the GIK group (P = 0.01).,6677,6763,True
4177066,13781,significantly decreased,"a significant difference between groups in favor of the late intervention group was found for the acquisition of positive attitudes towards early reading aloud (p < 0.01), early exposure to music (p < 0.001) and parental socialization (p = 0.03",25284,25528,True
3549213,13413,significantly decreased,outcome of agitation was significantly reduced in the intervention group compared with controls over 26 weeks (time by group interaction adjusted for covariates: p=0.011).,7935,8107,True
4815896,13486,no significant difference,Levels of sRAGE decreased significantly in both the MPT and placebo groups (p < 0.002),33388,33492,True
5030453,13598,no significant difference,"within the three groups differences in the reported functional activity at the three visits did not reach statistical significance,",31583,31715,True
3606612,13639,no significant difference,Hb in the HIP group was 117 g/L and 113 g/L in the IV sucrose group (p = 0.37).,4850,4930,True
5789502,13616,no significant difference,The groups were comparable with time to discharge (P = 0.071).,17033,17112,True
3606612,13641,significantly decreased,the serum ferritin was significantly higher in the IV iron sucrose group {85.5 ug/L in HIP and 244 ug/L; p = 0.004}.,5006,5123,True
3643086,13738,no significant difference,The intrahospital mortality rate was 26% in the statin group and 45% in the placebo group (P = 0.17).,6055,6173,True
3698086,11916,significantly increase,"In DH+ TO lungs, the relative abundance of elastin-containing secondary crests was increased as compared to DH lungs (P = 0.01),",55663,55809,True
3636850,13635,significantly decreased,The OHI-S was found to be significantly low in the fluoridated group at the 12 months time interval (P < 0.05).,10439,10567,True
4360612,13447,significantly increase,83% of the surgery group and 25% of the NSM group exhibited a pain improvement of ≥20 points (p<.0001).,48243,48347,True
1797029,11310,no significant difference,a trend toward a shorter median time to treatment failure among women with HER2-positive tumors (2.3 versus 4.2 months; P = 0.067).,6941,7090,True
5844532,13772,significantly decreased,"recurrence was significantly higher in the placebo group than in the Equitend® group (71.4% vs 16.6%, p = 0.02442).",19479,19606,True
3714436,12342,no significant difference,"the EQVAS, continued to show a small difference that favoured early pramipexole but was of doubtful clinical significance",23479,23601,True
3575612,13492,no significant difference,There were no adverse drug reactions,4921,4958,True
1074719,11489,no significant difference,median disease-free survival (66 months with Cisplatin vs. 73 in the nihil group) were similar in both arms,4968,5076,True
1913939,13521,no significant difference,No significant differences were found between the two groups on measures of stress or physical activity,6630,6733,True
5027814,12522,significantly decreased,"The overall ARR over the 11-year study period was lower in the early-treatment group than in the delayed-treatment group, resulting in a 19.1% reduction in risk of relapses (risk ratio [RR] 0.8094 [95% CI 0.7090–0.9242], p = 0.0018;",87193,87443,True
4710681,13317,no significant difference,"The study showed similar response rate, PFS, and OS in both groups",38852,38918,True
3682309,13843,no significant difference,"Duration RRT prescribed, hrs	146 ± 240	145 ± 156	0.88",30348,30464,True
3563445,12823,significantly decreased,"the placebo group children had higher levels of Clostridium difficile et rel at 18 months of age as compared to the LGG group children (1.19 ± 0.85% and 0.78 ± 0.60%, respectively, p=0.047).",37332,37540,True
5850179,13858,no significant difference,There was no difference between groups in infarct size,20360,20415,True
3685778,12071,significantly increase,"Sildenafil group fetuses demonstrated a significant decrease in systolic/diastolic ratios (0.60 [SD 0.40] [95% Cl 0.37-0.84], P=0.000), and pulsatility index (0.12 [SD 0.15] [95% Cl 0.02-0.22], P=0.019) for the umbilical artery and a significant increase in middle cerebral artery pulsatility index (MCA PI) (0.51 [SD 0.60] [95% Cl 0.16-0.85], P=0.008).",4111,4515,True
88884,11189,no significant difference,Advertising tells the truth about the effects of tobacco use. ............................	73.1	81.0	N.S.	79.9	N.S,25585,25814,True
3685700,13687,significantly increase,Plasma concentrations of ghrelin were significantly higher under conditions of TSD,4956,5038,True
1804280,11560,no significant difference,The differences between intervention and control groups were not statistically significant,38220,38310,True
3685700,13685,no significant difference,"ratings of sweet intensity or pleasantness of the yogurt samples with varying sucrose concentrations did not significantly (i.e., p < 0.05) differ between conditions",17308,17473,True
3770494,13698,significantly increase,Participants whose treatment assumption after final free recall was MPH showed significantly more anger (P = 0.031) and fatigue (P = 0.036) than those who answered placebo.,27807,28014,True
1974799,11289,significantly decreased,"Times to PR and PF were shorter with rizatriptan than with other oral triptans (median time to PR: 45 vs. 52 min, p < 0.0001; median time to PF: 100 vs. 124 min, p < 0.0001).",4081,4256,True
5815237,13504,significantly increase,Treatment with iNO was associated with delayed CHI3L1 recovery with a daily decline of 34% in the placebo group versus 29% in the iNO group (p = 0.012).,8282,8435,True
2921405,13779,significantly decreased,The prevalence of severe illness among children consuming prebiotic and prebiotics-fortified milk was 16% (95% CI: 5 to 26%; p = 0.004) lower than the control group.,46778,46944,True
2921405,13779,significantly decreased,Children in the prebiotic and probiotic fortified group showed a statistically significant 5% fewer days with high fever,47154,47275,True
4166058,13384,no significant difference,There was no significant difference between the groups in the need for nCPAP,4520,4596,True
5845721,13514,no significant difference,No differences in weekly MVPA or daily steps were observed between groups (p > 0.05).,6850,6956,True
5850768,13734,no significant difference,Immunogenicity was comparable between SB2 and INF with no statistically significant difference,32993,33087,True
5819581,13418,significantly increase,"in the group comparison analysis for the same variables between IPV group and HFCWO group, we observed a significant improvement in the IPV group maximal inspiratory pressure, maximal expiratory pressure, BCSS, and CAT",5636,5854,True
3540908,13323,no significant difference,"At the end of follow-up, 19 of 22 (86.3%) subjects in group 1 and 19 of 21 (90.4%) in group 2 were still in remission, with no significant difference between the two groups.",4541,4715,True
5516151,13662,no significant difference,Hazard ratios (HRs) comparing time to death or graft loss were 0.915 (95% confidence interval [CI] 0.625–1.339; p = 0.65) for belatacept MI versus cyclosporine and 0.927 (95% CI 0.634–1.356; p = 0.70) for belatacept LI versus cyclosporine.,9413,9913,True
57750,11248,significantly decreased,"Death or myocardial infarction						
 Eastern Europe	21.0	19.7		18.0	17.9	
 Latin America	16.1	15.7		14.1	13.2	
 North America	11.7	15.0		11.7	15.0	
 Western Europe	13.8	14.8		12.9	13.7	
 Overall	14.2	15.7	0.042	13.3	14.9	0.021",27420,-1,True
5863299,13725,significantly increase,"the levels of ET-1 and VWF had decreased in both groups, but the change in the treatment group from baseline was less than that of the control group. At 12 weeks of treatment, the ET-1 and VWF levels of both groups were significantly lower than at the baseline, but the decrease in the treatment group was significantly less than that of the control",30176,30525,True
3664374,13633,no significant difference,"there was a numerically greater improvement in BASFI with adalimumab than with placebo, the difference was not statistically significant.",39725,39863,True
