PMCID,ID,Label,Selected Text,Start,End,Valid Prompt
3751456,12403,no significant difference,"At 1-year, however, weight loss was similar in both groups (−3.9 ± 3.3 kg vs. −3.1 ± 2.6 kg; p = 0.139).",7624,7745,True
1852556,11568,significantly decreased,"TC/HDL and LDL/HDL were significantly reduced by (8%, 8%, 6%, 10%, respectively) (P < 0.01) at both week 3 and week 4.",4660,4778,True
3917487,13107,no significant difference,"Average changes in the records of the intervention and control groups were 3.9 and 0.5 seconds, respectively(p= 0.22).",5116,5235,True
5866829,12784,no significant difference,There were no significant changes in HDL cholesterol in all groups.,34235,34302,True
5842470,12123,no significant difference,There were no significant differences in MAP values between groups (P = 0.711),13885,13980,True
3707768,12017,significantly increase,"So it demonstrated that the values of serum creatinine increased significantly initially (0–4 weeks), and then (5-48weeks) maintained at the stable level in TDF+PI/r group.",27928,28101,True
5884496,11802,significantly increase,"The Bandebereho intervention led to substantial improvements in multiple reported outcomes. Compared to the control group, women in the intervention group reported: less past-year physical (OR 0.37, p<0.001) and sexual IPV (OR 0.34, p<0.001); and greater attendance (IRR 1.09, p<0.001) and male accompaniment at antenatal care (IRR 1.50, p<0.001);",14457,14804,True
1524987,11373,significantly increase,The mean test time (12.8 ± 3.1 and 18.7 ± 3.4 p= 0.0001) and the mean total dose of dobutamine (14 × 18 × 25 mg p = 0.008) were significantly higher in group C patients than in group A & B patients.,4767,4966,True
1705528,11513,significantly decreased,"Acyclovir [13, 19]	800 mg tid × 2 days versus placebo200 mg 5 times daily × 5 days versus placebo	4.0 versus 6.0 (P = .001) 5.7 versus 7.2a (P ≤ .001)",12116,12463,True
3691625,12701,significantly increase,"For the GBM patients, mean and median overall survival corresponded to 17.24 and 8.40 (nimotuzumab arm) vs. 9.84 and 8.36 months (placebo arm), respectively (Weibull statistics, p = 0.026).",32499,32688,True
3872578,13057,,"""lidocaine or air was used to fill the tracheal tube cuff"" is not a valid intervention.",-1,-1,False
3264513,11961,no significant difference,Effects of the here investigated isoenergetic diets on body fat distribution and liver fat content have been published and showed no differences between groups,48149,48308,True
5782456,12423,no significant difference,There was no statistically significant difference between the reading rates of males and females under the different illuminations (P = 0.99);,3776,3935,True
3493727,13076,significantly decreased,The average specimen size was 34.74±13.65 mm in the propofol group and 42.74±16.86 mm in the combination group (p=0.003).,16461,16582,True
5986584,13174,significantly decreased,"Among the other biomarkers, triglyceride and insulin levels were significantly decreased in the WL compared to the control group.",6906,7035,True
4138365,12938,no significant difference,There was no significant difference in parental health or primary carer between the two groups (data not shown).,31068,31180,True
1847837,11590,no significant difference,"The difference in change in individual subject mean AQLQ score (effect of AKL1 – effect of placebo) showed a trend to improvement with AKL1 treatment of 0.42 (-0.08 to 0.93), p = 0.09.",26028,26212,True
3510731,12235,no significant difference,"Clicked on Protocol link		202 (3.3%)a	362 (6.1%)a
Median time in seconds (interquartile range)	3.5 (5.4)c	3.6 (3.9)c",19964,20410,True
5805208,13121,no significant difference,"Patients in Group B had a longer clinical duration of rocuronium than those in Group A; however, this difference was not statistically significant.",15326,15473,True
1794469,11342,significantly decreased,The success rate was significantly lower and the rate of mechanical complications was significantly higher in the landmark group of patients as compared with the ultrasound group (p < 0.001),22793,23000,True
5883519,12472,significantly increase,"increased high density lipoprotein cholesterol (HDL-C) (1.45 ± 0.40 vs. 1.19 ± 0.23 mmol/L, P = 0.016) levels compared with the control group.",5486,5645,True
5313491,12150,significantly decreased,"The total number of complications (46 vs. 99, p = 0.043) and the proportion of patients who developed one or more complications (19.2 vs. 34.7%, p = 0.034) were smaller in the GDFR group.",5396,5617,True
1578590,11413,no significant difference,There was no difference between early and standard protocols in relation to complications.,22005,22095,True
4301654,13133,no significant difference,More patients in the pooled ESD groups were independent at 3 (p = 0.086) and 6 months (p = 0.122) compared to controls and there also was a significant difference in 3 month change score between them (p = 0.049). There were no differences between the two ESD groups.,6378,6645,True
3375426,13070,no significant difference,"At week 8 of the first period, the symptoms had ceased in 5 of the 7 subjects in the GB-0998 group, whereas they had not ceased with either of the two subjects in the placebo group (Fisher direct probability test, p = 0.1667).",41905,42148,True
2649924,12562,significantly increase,The use of amiodarone for total arrhythmia was significantly more effective than prophylactic treatment with magnesium sulphate (p = 0.015).,5174,5315,True
5840469,13032,no significant difference,"The mean value of esophageal stricture time was 59.6 ± 16.1 d and 70.7 ± 28.6 d in the PGA plus stent group and stent group (P = 0.174), respectively.",5683,5851,True
4393831,11952,no significant difference,The mean duration of hospital stay was 7.5 ± 1.5days in both groups.,24092,24160,True
3636944,12625,,"Based on the given data, the statistical significance can not be determined.",-1,-1,False
1925104,11271,,The intervention and comparator are not comparable.,-1,-1,False
3714433,12571,no significant difference,There were no significant differences in the implantation or clinical pregnancy rates.,5684,5770,True
1619408,11526,significantly increase,Analysis of the primary endpoint showed that persistence was significantly higher in the ibandronate/PSP group compared with the alendronate group (p < 0.0001).,3592,3752,True
3669518,13017,,"There are 2 types of grade 3-5 toxicities, and it is not clear to which one the outcome refers.",-1,-1,False
3580751,11788,,There is no data from the comparison of group A and group B directly. The data is refering to group A in period 1 and 2 and group B in period 1 and 2.,-1,-1,False
5747130,13292,significantly decreased,"In the VST group, mean PaCO2 was lower than in the bronchoscopy group before (5.3 [5.0–5.7] vs. 7.6 [6.7–8.4] kPa, p < 0.001, PP analysis) and after insertion of the tracheal cannula (5.9 [5.4–6.5] vs. 8.3 [7.2–9.5] kPa, p < 0.001) (see Fig. 3).",24992,25344,True
3646683,11911,no significant difference,There was no intervention effect measured using the SF-36/SF-6D and ProActive Heart resulted in significantly increased costs.,5668,5794,True
1713262,11485,significantly increase,"on day 14, the prevalence of asexual blood-stage Plasmodium-positive patients was significantly higher in the Cotrifazid group at 15% (11/72) than in the mefloquine group, 0% (0/71), and the quinine + SP group at 4% (3/75) (Fisher's exact test, p = 0.001).",35624,35915,True
5045682,12258,no significant difference,"No significant differences in pain score, tingling and lesion size were observed on similar days between Amlexanox and Adcortyl groups.",5255,5390,True
4756994,13347,no significant difference,The Quality of Recovery Scale scores did not significantly different among the groups,20583,20668,True
3641298,13074,significantly increase,"Symptomatic scales involving fatigue (68 to 63, P < 0.01), pain (90 to 76, P < 0.01), and insomnia (83 to 74, P < 0.01) were also improved, but constipation was increased (53 to 72, P < 0.01).",26409,26681,True
2852703,12881,significantly increase,"The proportion of successful preparations at follow-up endoscopy was higher for the water-intake group (70%) than for the prolonged fasting group (40%, p=0.025).",5118,5279,True
5762815,12962,no significant difference,"Stillbirth rates were somewhat higher than those reported in the baseline survey, but again did not differ significantly between groups after baseline rates and randomisation were controlled for",52885,53079,True
4005035,12868,,The only instance where the required data is given is in a table and I can't add the values as one span.,-1,-1,False
1277845,11462,,The data is not provided in the text.,-1,-1,False
5526285,12817,no significant difference,"For the main effects model of body weight, group was not significant,",33717,33786,True
1087200,12835,significantly increase,"Carriers in the co-artemether group harboured gametocytes at significantly lower densities, for shorter periods (0.3 d versus 4.2 d; p < 0.0001) and were less infectious to mosquitoes at day 7 (p < 0.001) than carriers who had received CQ/SP.",7515,7797,True
32174,11179,no significant difference,"PHR group patients reported receiving fewer explanations about their condition (18% vs. 33%, p=0.12) and treatment (26% vs. 45%, p=0.07)",4909,5046,True
57751,11281,significantly decreased,Bezafibrate significantly reduced total cholesterol by approximately 8.0%,3438,3512,True
1891438,11291,no significant difference,There was no significant difference between treatment groups in the primary outcome-percentage of days with diarrhea–in any of the three cohorts,45002,45147,True
5561674,12905,no significant difference,"Furthermore, there was no significant difference in the mothers’ education and occupation and the number of children in the families between the two groups (P > 0.05).",19165,19352,True
4359699,13060,no significant difference,"LDA was achieved by more patients on etanercept than placebo in patients with moderate disease at screening, but the difference was not statistically significant at week 12.",5660,5833,True
5411411,13165,significantly decreased,Increased loop formation was observed upon endoscope insertion in group II (1.7 vs. 1.35) (p < 0.05) and required more manual pressure to the abdomen (2.2 vs. 1.7) (p = 0.001).,6929,7146,True
4694692,11941,no significant difference,Both FF/VI and TIO improved the 24-hour weighted mean FEV1 from baseline after 12 weeks with no significant difference between treatments.,5287,5436,True
1472695,11357,,The intervention and comparator are not comparable with the outcome.,-1,-1,False
3714019,12187,significantly decreased,Epoetin alfa avoided the decrease in hemoglobin level (no decrease in the epoetin alfa group vs –2.20g/dL change for the control group; P < .001) and statistically significantly reduced the percentage of subjects requiring red blood cell transfusion (12.8% vs 28.1%; P < .0001).,8109,8424,True
1805771,11259,significantly increase,"Post hoc analysis identified significant differences in responses between HVLA and LT (p = 0.025) with a mean difference of -0.367 out of a maximum of 4. Participants responded more positively to the statement ""I believe this treatment would allow me to get better quicker"" for the HVLA treatment.",23787,24085,True
1977002,11441,,No data for baseline.,-1,-1,False
1936359,11351,,No data for the comparison of intervention and comparator.,-1,-1,False
59899,11376,significantly decreased,The needlescopic group had a significantly shorter mean operative time (p = 0.02),4495,4576,True
4748139,12949,,Daily physical activity can't be compared to healthy individuals in regards to ease of learning.,-1,-1,False
4588424,12020,no significant difference,total stroke and TIA similarly occurred in both groups (2.56 vs. 2.65%/year),8963,9039,True
5816528,11760,no significant difference,The overall duration of canine retraction was shortened significantly in the experimental side compared to the control side by a mean of 1.17 month (p = 0.001) in the PG and 1.05 month (p ≤ 0.001) in the LG whereas the difference between the two experimental sides was not significant (p = 0.523; Fig. 7),37926,38320,True
5842470,12125,no significant difference,There were no significant differences in the hematocrit level between groups (P = 0.60),14809,14913,True
5827032,12909,significantly increase,The occurrence of grade 3–4 anemia and thrombocytopenia is higher in the TEL group (52.5% vs. 10.0% and 34.4% vs. 1.7% respectively).,5119,5253,True
3612059,12796,,"""antimalarials and antibiotics"" and ""antimalarials and amoxicilin"" can't be compared because they are the same thing.",-1,-1,False
65527,11525,no significant difference,"The mean MMSE scores improved in the Group 1 patients in contrast to impairment in the Group 2 patients both in the ITT sample and among the study-completers (2.7% vs. -5.3%, t = -2.53, df = 34, P = 0.0159; 2.6% vs. -6.9%, t = -2.52, df = 27, P = 0.0178, respectively). Using ANCOVA with pre-ECT MMSE scores as a covariate, the difference did not remain statistically different in the ITT sample (P = 0.2518), and among study completers (P = 0.2333).",29228,29781,True
1550875,11389,no significant difference,There were no differences between length of stay in the intensive care unit after infection,5153,5244,True
1804280,11563,significantly increase,"Patients in intervention practices were more likely to have at least one diabetes appointment recorded (OR 2.00, 95% CI 1.02, 3.91), to have a recording of a foot check (OR 1.87, 95% CI 1.09, 3.21), have a recording of receiving dietary advice (OR 2.77, 95% CI 1.22, 6.29), and have a recording of blood pressure (BP) (OR 2.14, 95% CI 1.06, 4.36).",5825,6172,True
3661377,12391,significantly decreased,"At 16 weeks, greater improvements from baseline in DLQI scores were reported with apremilast 20 (−5.9) and 30 mg BID (−4.4) compared with placebo (1.9; P≤0.005 for both),",5066,5257,True
5840243,13269,significantly increase,"More patients in the IG reported ‘good’ self-efficacy at follow-up compared with the CG (OR 2.91, 95% CI 1.20–7.06).",38997,39114,True
5813072,12061,significantly increase,"MDMA, methylphenidate, and modafinil produced significant and comparable acute adverse effects (up to 6 h) compared with placebo",45096,45224,True
3685777,11751,,Both the control and intervention group received a low-calorie diet based on 1400 kcal energy.,-1,-1,False
5827033,11999,significantly decreased,"Time to first flatus in the TEA group was significantly shorter than in the control group (73.19 ± 15.61 vs 82.82 ± 20.25 h, P = 0.038), especially for open gastrectomy (76.53 ± 14.29 vs 87.23 ± 20.75 h, P = 0.048).",7159,7442,True
2699720,11984,significantly increase,a greater increase in HDL was observed in the low-carbohydrate group (P = 0.002).,5201,5300,True
5980435,13168,no significant difference,There was no significant difference in mean PCV after transfusion scaled to dose of pRBCs administered between the CM+ and CM– transfusions for any time point (Table 2).,34644,34873,True
5777682,13105,no significant difference,Pharyngeal mucositis pain did not show a significant difference between groups (P = 0.0630),27665,27773,True
3654568,12979,significantly decreased,"Both canagliflozin 100 and 300 mg reduced HbA1c from baseline compared with placebo at week 26 (–0.33, –0.44 and –0.03%; p < 0.05).",6002,6133,True
3702143,12631,significantly increase,"While mean scores of knowledge, attitude and practice were not significantly different before education, the intervention group showed significantly higher scores after education (p < 0.001).",5336,5528,True
5986449,12903,no significant difference,"Subjects younger than 45 years in the “Yabukita” group experienced less ache behind the eyes at week 12 compared to those in the placebo group, though the difference was not statistically significant (p = 0.052)",27373,27601,True
5983010,13225,significantly decreased,The macular integrity index decreased from 71.2 (33.2) at baseline to 63.5 (36.4) at 45 days and to 51.6 (35.9) at 90 days (P=0.002) in the DHA group only (between-group differences P<0.05).,5493,5720,True
3686162,13155,no significant difference,Delirium occurred in 4.9% (95% CI 2.3% to 7.3%) of the intervention group (15/305) and in 5.9% (20/339; 95% CI 3.8% to 9.2%) of the group receiving usual care. No difference was observed between groups (χ2; p=0.5).,7879,8105,True
5737852,11695,significantly increase,"Systolic blood pressure during ketamine and placebo infusion, separately to show boxplot. Systolic blood pressure was higher in the ketamine group beginning at timepoint 15 minutes (***P<.001).",29009,29222,True
3622020,11723,significantly increase,"Group I and Group III showed significantly lower minimum blood glucose levels within 8 h after birth than in Group II (Group I vs. Group II, P < 0.05; Group II vs. Group III, P < 0.01).",14897,15119,True
