user_id,pmid_id,selection,annotation,outcome,comparator,intervention,invalid prompt,prompt reason
b'krystie',b'22080588',b'Significantly increased',"b'Continuous abstinence was higher for varenicline than for placebo subjects at the end of treatment (Weeks 9\xe2\x80\x9312: 53.1% vs. 19.3%; odds ratio [OR] 5.9; 95% CI, 3.7\xe2\x80\x939.4; p < .0001) and through 24 weeks follow-up (Weeks 9\xe2\x80\x9324: 34.7% vs. 12.7%; OR 4.4; 95% CI, 2.6\xe2\x80\x937.5; p < .0001).'","b' ""Continuous or sustained abstinence at longest follow-up (24+ weeks)"" '","b' ""Control"" '","b' ""Varenicline"" '",b'0',b''
b'krystie',b'20200301',b'Cannot tell based on the abstract',b'',"b' ""Percentage of participants having at least one severe hypoglycaemic event"" '","b' ""Glargine"" '","b' ""Detemir"" '",b'0',b''
b'krystie',b'20200301',b'No significant difference',b'Risk of hypoglycemia was comparable between treatments with \xe2\x88\xbc30% of patients experiencing symptomatic hypoglycemia with PG \xe2\x89\xa43.1 mmol/l in either group',"b'  ""Percentage of participants having at least one severe hypoglycaemic event""  '","b'  ""Glargine""  '","b'  ""Detemir""  '",b'0',b''
b'krystie',b'19284644',b'Cannot tell based on the abstract',b'',"b' ""Death or severe brain injury by first hospital discharge"" '","b' ""Liberal"" '","b' ""Restrictive"" '",b'0',b''
b'krystie',b'19284644',b'Invalid Prompt',b'',"b'  ""Death or severe brain injury by first hospital discharge""  '","b'  ""Liberal""  '","b'  ""Restrictive""  '",b'1',b' There was no mention of any of the requested items.'
b'krystie',b'19066176',b'Cannot tell based on the abstract',b'',"b' ""Serious Infections (16-24 wk)"" '","b' ""Placebo"" '","b' ""Golimumab"" '",b'0',b''
b'krystie',b'19066176',b'Cannot tell based on the abstract',b'',"b' ""Serious Infections (16-24 wk)"" '","b' ""Placebo"" '","b' ""Golimumab"" '",b'0',b''
b'krystie',b'19066176',b'Significantly increased',"b'Patients in the golimumab groups had greater incidences of infections than those in the methotrexate-alone group. Also, patients in the 100 mg golimumab plus methotrexate group had greater incidences of serious adverse events and serious infections than those in the other groups. One patient who received golimumab 100 mg alone died because of a serious infection.'","b'  ""Serious Infections (16-24 wk)""  '","b'  ""Placebo""  '","b'  ""Golimumab""  '",b'0',b''
b'krystie',b'20831782',b'Cannot tell based on the abstract',b'',"b' ""Infiltration"" '","b' ""Routine replacement"" '","b' ""Clinically indicated"" '",b'0',b''
b'krystie',b'20831782',b'No significant difference',"b'Infiltration, n (%)\t53 (30%)\t61 (33%)\tRR 1.10 (0.81, 1.49), p = 0.57,There was no statistically significant difference in group outcomes for any phlebitis (P = 0.34), infiltration (P = 0.57), occlusion (P = 0.75), or accidental removal (P = 0.43). No cases of local infection or IVD-related bloodstream infection occurred in either group.'","b'  ""Infiltration""  '","b'  ""Routine replacement""  '","b'  ""Clinically indicated""  '",b'0',b''
b'krystie',b'21503263',b'Cannot tell based on the abstract',b'',"b' ""Patients with \xe2\x89\xa5 1 exacerbation"" '","b' ""placebo"" '","b' ""tiotropium"" '",b'0',b''
b'krystie',b'21503263',b'Invalid Prompt',b'',"b'  ""Patients with \xe2\x89\xa5 1 exacerbation""  '","b'  ""placebo""  '","b'  ""tiotropium""  '",b'1',b'The results section was missing from the article. There is no way to accurately describe whether the patients had one or more exacerbations using tiotropium versus placebo during the study.'
b'krystie',b'20427683',b'Significantly increased',"b'In the intention-to-treat analysis, complete healing of the index ulcer was achieved in 37 patients at 1-year of follow-up: 25/48 (52%) in the HBOT group and 12/42 (29%) in the placebo group (P = 0.03). In a sub-analysis of those patients completing >35 HBOT sessions, healing of the index ulcer occurred in 23/38 (61%) in the HBOT group and 10/37 (27%) in the placebo group (P = 0.009).,The HODFU study showed that adjunctive treatment with HBOT facilitates healing of chronic foot ulcers in selected patients with diabetes.'","b' ""Healed at end of treatment (6 weeks)"" '","b' ""Control"" '","b' ""HBOT"" '",b'0',b''
b'krystie',b'19066176',b'Cannot tell based on the abstract',b'',"b' ""HAQ Change \xe2\x89\xa5.22 (14 wk)"" '","b' ""Placebo"" '","b' ""Golimumab"" '",b'0',b''
b'krystie',b'19066176',b'Significantly increased',"b'Thirty-three per cent of patients in group 1 achieved an ACR20 response at week 14 compared with 55.6% (p<0.001) in the combined groups 3 and 4, representing 55.1% (p\xe2\x80\x8a=\xe2\x80\x8a0.001) in group 3 and 56.2% (p<0.001) in group 4,Improvement from baseline in HAQ-DI\t\xe2\x88\x920.13 (\xe2\x88\x920.38 to 0.13)\t\xe2\x88\x920.25 (\xe2\x88\x920.63 to 0.13)\t\xe2\x88\x920.38 (\xe2\x88\x920.75 to \xe2\x88\x920.13)\t\xe2\x88\x920.38 (\xe2\x88\x920.63 to \xe2\x88\x920.13)\t\xe2\x88\x920.38 (\xe2\x88\x920.75 to \xe2\x88\x920.13)'","b'  ""HAQ Change \xe2\x89\xa5.22 (14 wk)""  '","b'  ""Placebo""  '","b'  ""Golimumab""  '",b'0',b''
b'krystie',b'15450119',b'Cannot tell based on the abstract',b'',"b' ""Vaginal delivery not achieved within 24 hours"" '","b' ""Prostaglandin"" '","b' ""Misoprostol"" '",b'0',b''
b'krystie',b'15450119',b'Significantly decreased',"b'With misoprostol, more women delivered within 12 h (57.5% vs. 32.5%, p < 0.01) and almost all of the women delivered within 24 h (98.8% vs. 91.6%, p < 0.05).'","b'  ""Vaginal delivery not achieved within 24 hours""  '","b'  ""Prostaglandin""  '","b'  ""Misoprostol""  '",b'0',b''
