,Unnamed: 0,comparison_name,estimate,intervention1,intervention2,lower,metric,outcome_name,pmid,result_str,review_name,upper,XML_file_names
20807,20807,"""Breast cancer and Bone Metastases (BCBM)""",0.8593861868170001,"""bisphosphonate""","""control""",0.72565822525,"""RR""","""Overall risk of SREs in BCBM: bisphosphonate vs control (excluding hypercalcaemia)""",15026791,no sig diff,"""CD003474 v. 15.3 Bisphosphonates and other bone agents for breast cancer.rm5""",1.01775821233,PMC2409647.nxml
51284,51284,"""Decentralisation - from the facility to the community for antiretroviral maintenance therapy""",0.9332288401250001,"""Community care""","""Facility care""",0.5950216913440001,"""RR""","""Death or lost to care (12 months)""",19939445,no sig diff,"""CD009987 v. 2.4 Decentralising HIV treatment in lower- and middle-income countries.rm5""",1.46367112445,PMC2806484.nxml
11655,11655,"""IVIg versus PE""",0.945,"""IVIg""","""PE""",0.793598335018,"""RR""","""Number improved by 1 or more disability grades after 4 weeks""",21745374,no sig diff,"""CD002063 v. 12.0 Intravenous immunoglobulin for Guillain-Barr syndrome.rm5""",1.12528587901,PMC3387601.nxml
11660,11660,"""IVIg versus PE""",0.0,"""IVIg""","""PE""",0.0,"""RR""","""Death""",21745374,"sig diff, neg","""CD002063 v. 12.0 Intravenous immunoglobulin for Guillain-Barr syndrome.rm5""",0.0,PMC3387601.nxml
11667,11667,"""IVIg versus PE""",0.0,"""IVIg""","""PE""",0.0,"""RR""","""Number of patients with adverse events attributed to treatment""",21745374,"sig diff, neg","""CD002063 v. 12.0 Intravenous immunoglobulin for Guillain-Barr syndrome.rm5""",0.0,PMC3387601.nxml
19303,19303,"""Add on of HIV counselling and testing to STI services""",1.34815384269,"""Integrated PICT""","""VCT""",1.3086659044,"""RR""","""Offered HIV Testing as a proportion of all STI patients""",20205841,"sig diff, pos","""CD003318 v. 6.0 Strategies for integrating primary health services in low- and middle-income countries at the point .rm5""",1.38883329768,PMC2825497.nxml
19304,19304,"""Add on of HIV counselling and testing to STI services""",1.2260421551799998,"""Integrated PICT""","""VCT""",1.17711185667,"""RR""","""HIV Tested as a proportion of all STI patients""",20205841,"sig diff, pos","""CD003318 v. 6.0 Strategies for integrating primary health services in low- and middle-income countries at the point .rm5""",1.27700639302,PMC2825497.nxml
19305,19305,"""Add on of HIV counselling and testing to STI services""",1.9370035358200002,"""Integrated PICT""","""VCT""",1.7411450204700003,"""RR""","""Declined HIV testing as a proportion of all new STI clients""",20205841,"sig diff, pos","""CD003318 v. 6.0 Strategies for integrating primary health services in low- and middle-income countries at the point .rm5""",2.1548938507099997,PMC2825497.nxml
19306,19306,"""Add on of HIV counselling and testing to STI services""",1.43678226808,"""Integrated PICT""","""VCT""",1.29697665023,"""RR""","""Declined HIV testing as a proportion of those offered testing""",20205841,"sig diff, pos","""CD003318 v. 6.0 Strategies for integrating primary health services in low- and middle-income countries at the point .rm5""",1.59165801905,PMC2825497.nxml
37610,37610,"""Mobile phone intervention versus control""",2.13901663324,"""Treatment""","""Control""",1.73985628735,"""RR""","""26-week cessation outcomes all studies""",21722952,"sig diff, pos","""CD006611 v. 5.0 Mobile phone-based interventions for smoking cessation.rm5""",2.6297529230000003,PMC3143315.nxml
37612,37612,"""Mobile phone intervention versus control""",2.13901663324,"""Treatment""","""Control""",1.73985628735,"""RR""","""26-week continuous abstinence""",21722952,"sig diff, pos","""CD006611 v. 5.0 Mobile phone-based interventions for smoking cessation.rm5""",2.6297529230000003,PMC3143315.nxml
37617,37617,"""Mobile phone intervention versus control""",2.13901663324,"""Treatment""","""Control""",1.73985628735,"""RR""","""Biochemically verified 26-week abstinence""",21722952,"sig diff, pos","""CD006611 v. 5.0 Mobile phone-based interventions for smoking cessation.rm5""",2.6297529230000003,PMC3143315.nxml
37619,37619,"""Text messaging-only interventions""",2.13901663324,"""Treatment""","""Control""",1.73985628735,"""RR""","""26-week quitting outcomes""",21722952,"sig diff, pos","""CD006611 v. 5.0 Mobile phone-based interventions for smoking cessation.rm5""",2.6297529230000003,PMC3143315.nxml
43981,43981,"""Consistent condom use among women living with HIV""",1.0775862069,"""Intervention""","""Control/Comparison""",0.260616438719,"""OR""","""Baseline""",18431475,no sig diff,"""CD007844 v. 3.0 Behavioral interventions to promote condom use among women living with HIV.rm5""",4.45555943823,PMC2292251.nxml
37525,37525,"""AFI versus SDVP: Primary outcome measures""",1.0458416833700002,"""AFI""","""SDVP""",0.605685012171,"""RR""","""Admission to neonatal intensive care unit""",15222889,no sig diff,"""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",1.8058641120200003,PMC449720.nxml
37531,37531,"""AFI versus SDVP: Secondary outcome measures""",2.9642141425700004,"""AFI""","""SDVP""",2.13696342462,"""RR""","""Rate of diagnosis of oligohydramnios""",15222889,"sig diff, pos","""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",4.11170606936,PMC449720.nxml
37534,37534,"""AFI versus SDVP: Secondary outcome measures""",0.944948720971,"""AFI""","""SDVP""",0.482892279263,"""RR""","""Umbilical artery pH less than 7.1""",15222889,no sig diff,"""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",1.8491247916099998,PMC449720.nxml
37538,37538,"""AFI versus SDVP: Secondary outcome measures""",0.669338677355,"""AFI""","""SDVP""",0.112324868128,"""RR""","""Apgar score less than seven at five minutes""",15222889,no sig diff,"""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",3.98855812135,PMC449720.nxml
37542,37542,"""AFI versus SDVP: Secondary outcome measures""",1.1679276921200001,"""AFI""","""SDVP""",0.813903583415,"""RR""","""Presence of meconium""",15222889,no sig diff,"""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",1.67594187053,PMC449720.nxml
37545,37545,"""AFI versus SDVP: Secondary outcome measures""",0.9520765669269999,"""AFI""","""SDVP""",0.6726403427300001,"""RR""","""Non-reassuring fetal heart rate tracing""",15222889,no sig diff,"""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",1.34759949963,PMC449720.nxml
37548,37548,"""AFI versus SDVP: Secondary outcome measures""",3.1793587174299995,"""AFI""","""SDVP""",1.28050114065,"""RR""","""Rate of induction of labor""",15222889,"sig diff, pos","""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",7.89403580614,PMC449720.nxml
37552,37552,"""AFI versus SDVP: Secondary outcome measures""",0.937074148297,"""AFI""","""SDVP""",0.62699440995,"""RR""","""Assisted vaginal delivery""",15222889,no sig diff,"""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",1.4005036495899998,PMC449720.nxml
37558,37558,"""AFI versus SDVP: Secondary outcome measures""",0.773579946779,"""AFI""","""SDVP""",0.539901938426,"""RR""","""Caesarean delivery""",15222889,no sig diff,"""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",1.10839745418,PMC449720.nxml
37562,37562,"""AFI versus SDVP: Secondary outcome measures""",1.0040080160299998,"""AFI""","""SDVP""",0.578077811899,"""RR""","""Caesarean delivery for fetal distress""",15222889,no sig diff,"""CD006593 v. 3.2 Amniotic fluid index versus single deepest vertical pocket as a screening test for preventing advers.rm5""",1.7437654161900003,PMC449720.nxml
31489,31489,"""Burns: honey vs silver sulfadiazine (SSD)""",0.298336798337,"""Honey""","""Control""",0.147203501762,"""RR""","""Adverse events""",20368852,"sig diff, neg","""CD005083 v. 11.0 Honey as a topical treatment for wounds.rm5""",0.604638097438,PMC2845359.nxml
31492,31492,"""Burns: honey vs silver sulfadiazine (SSD)""",54.1578947368,"""Honey""","""SSD""",3.4094613325400003,"""RR""","""Negative swab at Day 7""",20368852,"sig diff, pos","""CD005083 v. 11.0 Honey as a topical treatment for wounds.rm5""",860.27594281,PMC2845359.nxml
26363,26363,"""Post treatment""",0.666666666667,"""Exercise""","""Control""",0.10333669651900002,"""OR""","""Study withdrawals""",15924620,no sig diff,"""CD004376 v. 6.0 Exercise for osteoarthritis of the knee.rm5""",4.30093528647,PMC1187893.nxml
9407,9407,"""GnRH antagonist versus long-course GnRH agonist""",0.878787878788,"""GnRH antagonist""","""GnRH agonist""",0.372262591896,"""OR""","""Live birth rate per woman randomised""",22066097,no sig diff,"""CD001750 v. 10.0 Gonadotrophin-releasing hormone antagonists for assisted reproductive technology.rm5""",2.07452522149,PMC3204557.nxml
9485,9485,"""GnRH antagonist versus long-course GnRH agonist""",0.8380566801620001,"""GnRH antagonist""","""GnRH agonist""",0.369154625152,"""OR""","""Clinical pregnancy rate per woman randomised - all women""",22066097,no sig diff,"""CD001750 v. 10.0 Gonadotrophin-releasing hormone antagonists for assisted reproductive technology.rm5""",1.90256047551,PMC3204557.nxml
9514,9514,"""GnRH antagonist versus long-course GnRH agonist""",0.7402597402600001,"""GnRH antagonist""","""GnRH agonist""",0.118640849695,"""OR""","""Miscarriage rate per woman randomised""",22066097,no sig diff,"""CD001750 v. 10.0 Gonadotrophin-releasing hormone antagonists for assisted reproductive technology.rm5""",4.61885163886,PMC3204557.nxml
9535,9535,"""GnRH antagonist versus long-course GnRH agonist""",0.825,"""GnRH antagonist""","""GnRH agonist""",0.11920277479000001,"""OR""","""Miscarriage rate per clinical pregnancy""",22066097,no sig diff,"""CD001750 v. 10.0 Gonadotrophin-releasing hormone antagonists for assisted reproductive technology.rm5""",5.70980835972,PMC3204557.nxml
19211,19211,"""Acupoint PC6 stimulation versus sham""",0.5657142857140001,"""PC6 acupoint""","""Sham""",0.332301228754,"""RR""","""Rescue antiemetics""",22066097,"sig diff, neg","""CD003281 v. 8.0 Stimulation of the wrist acupuncture point PC6 for preventing postoperative nausea and vomiting.rm5""",0.963079956884,PMC3204557.nxml
36366,36366,"""30 day post-operative mortality""",0.0,"""RFA""","""HR""",0.0,"""OR""","""Postoperative mortality""",22066097,"sig diff, neg","""CD006317 v. 4.0 Radiofrequency ablation in the treatment of liver metastases from colorectal cancer.rm5""",0.0,PMC3204557.nxml
39455,39455,"""Heliox inhalation versus air or oxygen inhalation""",0.0,"""Heliox""","""Control""",0.0,"""RR""","""Mortality""",22066097,"sig diff, neg","""CD006915 v. 7.0 Heliox inhalation therapy for bronchiolitis in infants.rm5""",0.0,PMC3204557.nxml
39458,39458,"""Heliox inhalation versus air or oxygen inhalation""",3.08571428571,"""Heliox""","""Control""",0.13005106216600001,"""RR""","""Need for mechanical ventilation (invasive or not)""",22066097,no sig diff,"""CD006915 v. 7.0 Heliox inhalation therapy for bronchiolitis in infants.rm5""",73.21457045,PMC3204557.nxml
39459,39459,"""Heliox inhalation versus air or oxygen inhalation""",0.514705882353,"""Heliox""","""Control""",0.170724765399,"""RR""","""Rate of emergency department discharge""",22066097,no sig diff,"""CD006915 v. 7.0 Heliox inhalation therapy for bronchiolitis in infants.rm5""",1.55174994506,PMC3204557.nxml
50785,50785,"""Lidocaine IV versus placebo""",0.381818181818,"""lidocaine""","""placebo/untreated""",0.0829323445406,"""RR""","""Postoperative nausea (PONV), late (0 to 24h, to 48h, to 72h)""",22066097,no sig diff,"""CD009642 v. 2.2 Continuous intravenous perioperative lidocaine infusion for postoperative pain and recovery.rm5""",1.75788017057,PMC3204557.nxml
41386,41386,"""8% capsaicin versus control (single dose)""",1.15615615616,"""Capsaicin""","""Control""",0.32667235794,"""RR""","""Serious adverse events""",20937130,no sig diff,"""CD007393 v. 4.0 Topical capsaicin (high concentration) for chronic neuropathic pain in adults.rm5""",4.09185847817,PMC2958861.nxml
19745,19745,"""EMDR vs Trauma-focused CBT""",2.0,"""EMDR""","""TFCBT""",0.208040129502,"""RR""","""Leaving study early for any reason""",12014211,no sig diff,"""CD003388 v. 15.0 Psychological therapies for chronic post-traumatic stress disorder (PTSD) in adults.rm5""",19.2270597484,PMC4531660.nxml
19750,19750,"""EMDR vs Trauma-focused CBT""",1.0,"""EMDR""","""TFCBT""",0.32252141750700003,"""RR""","""PTSD diagnosis after treatment""",12014211,no sig diff,"""CD003388 v. 15.0 Psychological therapies for chronic post-traumatic stress disorder (PTSD) in adults.rm5""",3.10056928228,PMC4531660.nxml
30045,30045,"""Pulmonary Complications""",0.628571428571,"""Tube""","""No tube""",0.108433924409,"""RR""","""Does post-operative nasogastric decompression diminish the risk of pulmonary complications?""",12014211,no sig diff,"""CD004929 v. 5.0 Prophylactic nasogastric decompression after abdominal surgery.rm5""",3.6437124540900006,PMC4531660.nxml
30068,30068,"""Wound Infection""",0.18297872340399998,"""Tube""","""No tube""",0.008621718050610001,"""OR""","""Does post-operative nasogastric decompression diminish the risk if wound infection?""",12014211,no sig diff,"""CD004929 v. 5.0 Prophylactic nasogastric decompression after abdominal surgery.rm5""",3.8833574726199998,PMC4531660.nxml
30097,30097,"""Gastric upset""",1.2727272727299999,"""Tube""","""No Tube""",0.273876775239,"""OR""","""How many patients have gastric upset (vomiting)?""",12014211,no sig diff,"""CD004929 v. 5.0 Prophylactic nasogastric decompression after abdominal surgery.rm5""",5.914465399019999,PMC4531660.nxml
30142,30142,"""Gastroduodenal Surgery""",0.617647058824,"""Tube""","""No Tube""",0.09990221313989998,"""OR""","""Pulmonary Complications""",12014211,no sig diff,"""CD004929 v. 5.0 Prophylactic nasogastric decompression after abdominal surgery.rm5""",3.81861299448,PMC4531660.nxml
30149,30149,"""Gastroduodenal Surgery""",0.18297872340399998,"""Tube""","""No Tube""",0.008621718050610001,"""OR""","""Wound Infection""",12014211,no sig diff,"""CD004929 v. 5.0 Prophylactic nasogastric decompression after abdominal surgery.rm5""",3.8833574726199998,PMC4531660.nxml
34619,34619,"""Finasteride vs tamsulosin""",0.912080961417,"""Finasteride""","""Tamsulosin""",0.5924526027570001,"""RR""","""Study discontinuations""",12014211,no sig diff,"""CD006015 v. 8.0 Finasteride for benign prostatic hyperplasia.rm5""",1.4041489163999998,PMC4531660.nxml
43799,43799,"""Statins versus placebo or no treatment""",0.0,"""Statin""","""Control""",0.0,"""RR""","""Withdrawal due to adverse events""",12014211,"sig diff, neg","""CD007784 v. 6.0 HMG CoA reductase inhibitors (statins) for people with chronic kidney disease not requiring dialysis.rm5""",0.0,PMC4531660.nxml
33648,33648,"""Probiotics versus control (all infants)""",0.20777777777800002,"""Probiotics""","""Control""",0.0461614453791,"""RR""","""Severe necrotising enterocolitis (stage II-III)""",16236699,"sig diff, neg","""CD005496 v. 7.0 Probiotics for prevention of necrotizing enterocolitis in preterm infants.rm5""",0.9352307880249999,PMC1550679.nxml
33657,33657,"""Probiotics versus control (all infants)""",0.5367592592589999,"""Probiotics""","""Control""",0.36627114326399995,"""RR""","""Death or severe NEC or sepsis""",16236699,"sig diff, neg","""CD005496 v. 7.0 Probiotics for prevention of necrotizing enterocolitis in preterm infants.rm5""",0.7866044259810001,PMC1550679.nxml
33661,33661,"""Probiotics versus control (infants < 1500 g)""",0.20777777777800002,"""Probiotics""","""Control""",0.0461614453791,"""RR""","""Severe necrotising enterocolitis (stage II-III)""",16236699,"sig diff, neg","""CD005496 v. 7.0 Probiotics for prevention of necrotizing enterocolitis in preterm infants.rm5""",0.9352307880249999,PMC1550679.nxml
33670,33670,"""Probiotics versus control (high quality studies)""",0.20777777777800002,"""Probiotics""","""Control""",0.0461614453791,"""RR""","""Severe necrotising enterocolitis (stage II-III)""",16236699,"sig diff, neg","""CD005496 v. 7.0 Probiotics for prevention of necrotizing enterocolitis in preterm infants.rm5""",0.9352307880249999,PMC1550679.nxml
44429,44429,"""Email compared to standard methods of communication: Secondary outcomes, patient outcome, effect on patient-professional communication""",2.6300872093,"""Email""","""Standard""",1.6112366676499998,"""OR""","""Communicating nonurgent messages to doctor and/or nurse rated as excellent/very good""",16236699,"sig diff, pos","""CD007978 v. 3.0 Email for clinical communication between patientscaregivers and healthcare professionals.rm5""",4.2931984279,PMC1550679.nxml
44430,44430,"""Email compared to standard methods of communication: Secondary outcomes, patient outcome, effect on patient-professional communication""",0.559401709402,"""Email""","""Standard""",0.253822316261,"""OR""","""Communicating nonurgent messages to doctor and/or nurse rated as poor""",16236699,no sig diff,"""CD007978 v. 3.0 Email for clinical communication between patientscaregivers and healthcare professionals.rm5""",1.23287139244,PMC1550679.nxml
37212,37212,"""Collaborative care versus 'usual care' (adults)""",0.983489631489,"""CC""","""Usual care""",0.808677152648,"""RR""","""Patient satisfaction""",22032247,no sig diff,"""CD006525 v. 5.0 Collaborative care for depression and anxiety problems.rm5""",1.19609148358,PMC3219630.nxml
24895,24895,"""Combination fluticasone/salmeterol versus budesonide/formoterol""",0.917592592593,"""FP/SAL""","""BUD/F""",0.693734033248,"""OR""","""Participants experiencing exacerbations requiring oral steroid treatment""",17362472,no sig diff,"""CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5""",1.21368727153,PMC1920547.nxml
24899,24899,"""Combination fluticasone/salmeterol versus budesonide/formoterol""",1.13718411552,"""FP/SAL""","""BUD/F""",0.538576222029,"""OR""","""Participants experiencing exacerbations requiring admission to hospital""",17362472,no sig diff,"""CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5""",2.40112292319,PMC1920547.nxml
24902,24902,"""Combination fluticasone/salmeterol versus budesonide/formoterol""",1.23075181159,"""FP/SAL""","""BUD/F""",0.573457570261,"""OR""","""Asthma-related serious adverse event""",17362472,no sig diff,"""CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5""",2.6414334735400002,PMC1920547.nxml
24906,24906,"""Combination fluticasone/salmeterol versus budesonide/formoterol""",1.40265906933,"""FP/SAL""","""BUD/F""",0.9661342085950001,"""OR""","""Participants experiencing exacerbations requiring ED visit/hospitalisation""",17362472,no sig diff,"""CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5""",2.0364173499500002,PMC1920547.nxml
24910,24910,"""Combination fluticasone/salmeterol versus budesonide/formoterol""",2.9375975038999997,"""FP/SAL""","""BUD/F""",0.119519348398,"""OR""","""Mortality""",17362472,no sig diff,"""CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5""",72.201523942,PMC1920547.nxml
24913,24913,"""Combination fluticasone/salmeterol versus budesonide/formoterol""",0.938745013276,"""FP/SAL""","""BUD/F""",0.7816167762430001,"""OR""","""Adverse events""",17362472,no sig diff,"""CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5""",1.1274607029100001,PMC1920547.nxml
24930,24930,"""Combination fluticasone/salmeterol versus budesonide/formoterol""",0.826921049858,"""FP/SAL""","""BUD/F""",0.5508099789600001,"""OR""","""Withdrawals""",17362472,no sig diff,"""CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5""",1.2414416020399999,PMC1920547.nxml
24934,24934,"""Combination fluticasone/salmeterol versus budesonide/formoterol""",0.75327738087,"""FP/SAL""","""BUD/F""",0.328913158675,"""OR""","""Withdrawals (adverse events)""",17362472,no sig diff,"""CD004106 v. 9.0 Combination fluticasone and salmeterol versus fixed dose combination budesonide and formoterol for c.rm5""",1.7251569223199998,PMC1920547.nxml
32418,32418,"""Voluntary Counselling and Testing on site Vs Voucher for off-site VCT""",13.999238480999999,"""On site VCT""","""Off site VCT voucher""",11.7514412206,"""RR""","""Uptake of testing""",16796402,"sig diff, pos","""CD005274 v. 5.2 Interventions to reduce risky sexual behaviour for preventing HIV infection in workers in occupation.rm5""",16.6769908788,PMC1483908.nxml
7296,7296,"""Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified)""",0.837121212121,"""Treatment""","""Control""",0.526497440859,"""RR""","""Vaginal delivery not achieved in 24 hours""",9678143,no sig diff,"""CD001233 v. 8.0 Mechanical methods for induction of labour.rm5""",1.3310072744900001,PMC1784771.nxml
7300,7300,"""Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified)""",3.0909090909099994,"""Treatment""","""Control""",0.751363572764,"""RR""","""Caesarean section""",9678143,no sig diff,"""CD001233 v. 8.0 Mechanical methods for induction of labour.rm5""",12.71517459,PMC1784771.nxml
7303,7303,"""Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified)""",0.0,"""Treatment""","""Control""",0.0,"""RR""","""Uterine hyperstimulation without fetal heart rate changes""",9678143,"sig diff, neg","""CD001233 v. 8.0 Mechanical methods for induction of labour.rm5""",0.0,PMC1784771.nxml
7304,7304,"""Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified)""",0.978787878788,"""Treatment""","""Control""",0.769782510857,"""RR""","""Epidural analgesia""",9678143,no sig diff,"""CD001233 v. 8.0 Mechanical methods for induction of labour.rm5""",1.24454076073,PMC1784771.nxml
7305,7305,"""Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified)""",0.7727272727269999,"""Treatment""","""Control""",0.225198615526,"""RR""","""Instrumental vaginal delivery""",9678143,no sig diff,"""CD001233 v. 8.0 Mechanical methods for induction of labour.rm5""",2.65147028822,PMC1784771.nxml
7308,7308,"""Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified)""",0.0,"""Treatment""","""Control""",0.0,"""RR""","""Post partum haemorrhage""",9678143,"sig diff, neg","""CD001233 v. 8.0 Mechanical methods for induction of labour.rm5""",0.0,PMC1784771.nxml
7309,7309,"""Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified)""",8.60869565217,"""Treatment""","""Control""",0.508739707548,"""RR""","""Neonatal infection""",9678143,no sig diff,"""CD001233 v. 8.0 Mechanical methods for induction of labour.rm5""",145.67300278,PMC1784771.nxml
7310,7310,"""Laminaria tent and prostaglandins versus prostaglandins alone: all women (not prespecified)""",5.02272727273,"""Treatment""","""Control""",1.30540568404,"""RR""","""Chorioamnionitis or endometritis""",9678143,"sig diff, pos","""CD001233 v. 8.0 Mechanical methods for induction of labour.rm5""",19.3256315371,PMC1784771.nxml
20391,20391,"""Supervised Injected Heroin + methadone vs oral methadone""",1.27987169206,"""Heroin+ methadone""","""Methadone""",1.0172206372900001,"""RR""","""Retention in treatment""",17002810,"sig diff, pos","""CD003410 v. 20.2 Heroin maintenance for chronic heroin-dependent individuals.rm5""",1.61034045918,PMC1613238.nxml
20397,20397,"""Supervised Injected Heroin + methadone vs oral methadone""",4.88636363636,"""Heroin+ methadone""","""Methadone""",0.24154818681999995,"""RR""","""Adverse events related to intervention medications""",17002810,no sig diff,"""CD003410 v. 20.2 Heroin maintenance for chronic heroin-dependent individuals.rm5""",98.84797688260001,PMC1613238.nxml
20403,20403,"""Heroin Provision (various modality and route of administration) vs any other treatment""",1.27987169206,"""Experimental""","""Control""",1.0172206372900001,"""RR""","""Retention in treatment""",17002810,"sig diff, pos","""CD003410 v. 20.2 Heroin maintenance for chronic heroin-dependent individuals.rm5""",1.61034045918,PMC1613238.nxml
2613,2613,"""Epidural versus non-epidural analgesia in labour""",1.00507614213,"""Epidural analgesia""","""Non-epidural""",0.254938185512,"""RR""","""Instrumental delivery""",17176461,no sig diff,"""CD000331 v. 10.2 Epidural versus non-epidural or no analgesia in labour.rm5""",3.9624430897000003,PMC1764008.nxml
2637,2637,"""Epidural versus non-epidural analgesia in labour""",1.26956986375,"""Epidural anagesia""","""Control""",0.718957308113,"""RR""","""Caesarean section""",17176461,no sig diff,"""CD000331 v. 10.2 Epidural versus non-epidural or no analgesia in labour.rm5""",2.24186835678,PMC1764008.nxml
2658,2658,"""Epidural versus non-epidural analgesia in labour""",3.51776649746,"""Epidural analgesia""","""Control""",0.7399190383900001,"""RR""","""Apgar score less than 7 at 5 minutes""",17176461,no sig diff,"""CD000331 v. 10.2 Epidural versus non-epidural or no analgesia in labour.rm5""",16.724371841500002,PMC1764008.nxml
2680,2680,"""Epidural versus non-epidural analgesia in labour""",1.03115571297,"""Epidural analgesia""","""Control""",1.0042139144600002,"""RR""","""Oxytocin augmentation""",17176461,"sig diff, pos","""CD000331 v. 10.2 Epidural versus non-epidural or no analgesia in labour.rm5""",1.05882032612,PMC1764008.nxml
2692,2692,"""Epidural versus non-epidural analgesia in labour""",1.46192893401,"""Epidural analgesia""","""Control""",0.696183573154,"""RR""","""Caesarean section for fetal distress""",17176461,no sig diff,"""CD000331 v. 10.2 Epidural versus non-epidural or no analgesia in labour.rm5""",3.06993196983,PMC1764008.nxml
