RowID,Outcome,Comparator,Intervention,Answer,Reasoning,xml_offsets,XML,PMID,Location
 32174 ,number of patients who felt ready to go home at the point of discharge,patient-held record (PHR),control,No significant difference,"More PHR than control group patients felt ready to go home at the point of discharge (82% vs. 60%, p=0.14),",24519:24623, 32174 ,11257719,Unavailable
 32174 ,number of patients who know how to cope at home,patient-held record (PHR),control,No significant difference,"but control group patients were more likely to have been instructed in how to cope at home (49% vs. 33%, p=0.11).",24519:24623, 32174 ,11257719,Unavailable
 32174 ,number of patients felt that they had made a complete recovery from the stroke,patient-held record (PHR),control,Significantly increased,"Significantly more PHR than control group patients felt that they had made a complete recovery from the stroke (38% vs. 14%, p=0.01),",24519:24623, 32174 ,11257719,Unavailable
 32174 ,"number of patient that felt that they had ""got their lives back together again""",patient-held record (PHR),control,No significant difference,"and a higher proportion felt that they had ""got their lives back together again"" (48% VS. 31%, P=0.08).",24519:24623, 32174 ,11257719,Unavailable
 32174 ,number of patients receiving explanations about their condition,patient-held record (PHR),control,No significant difference,"PHR group patients reported receiving fewer explanations about their condition (18% vs. 33%, p=0.12)",4910:5047, 32174 ,11257719,Unavailable
 32174 ,number of patients receiving explanations about their treatment,patient-held record (PHR),control,No significant difference,"PHR group patients reported receiving fewer explanations about their condition (18% vs. 33%, p=0.12) and treatment (26% vs. 45%, p=0.07),",4910:5047, 32174 ,11257719,Unavailable
 88884 ,Knowledge that smoking causes bad breath,tobacco-use prevention programs,control,No significant difference,(1) Smoking causes bad breath ....................	98.4	100	N.S.,23272:23405, 88884 ,11897014,Unavailable
 88884 ,Knowledge that smokers have yellow teeth and fingers ,tobacco-use prevention programs,control,Significantly increased,(2) Smokers have yellow teeth and fingers ............	72.0	96.5	p = 0.0313,23492:23636, 88884 ,11897014,Unavailable
 88884 ,Knowledge that Low tar cigarettes are safe,tobacco-use prevention programs,control,No significant difference,(3) Low tar cigarettes are safe .....................	88.2	92.6	N.S.,23729:23866, 88884 ,11897014,Unavailable
 88884 ,Knowledge that smokers have clean smelling clothes,tobacco-use prevention programs,control,No significant difference,(4) Smokers have clean smelling clothes ............	89.2	91.6	N.S.,23953:24089, 88884 ,11897014,Unavailable
 88884 ,Knowledge that Smoking decreases the amount of air that gets into your lungs ,tobacco-use prevention programs,control,No significant difference,(5) Smoking decreases the amount of air that gets into your lungs ........................	86.5	89.6	N.S.,24176:24350, 88884 ,11897014,Unavailable
 88884 ,Knowledge that Smoking 1 pack of cigarettes a day costs several hundred dollars per year,tobacco-use prevention programs,control,Significantly increased,(6) Smoking 1 pack of cigarettes a day costs several hundred dollars per year.................	81.5	91.8	p = 0.0313,24437:24621, 88884 ,11897014,Unavailable
 88884 ,Attitude about tobacco use: People who use tobacco are popular and glamorous,tobacco-use prevention programs,control,No significant difference,(7) People who use tobacco are popular and glamorous . .	93.2	91.3	N.S,24869:25008, 88884 ,11897014,Unavailable
 88884 ,Attitude about tobacco use: Some people start to use tobacco because their friends do ,tobacco-use prevention programs,control,No significant difference,(8) Some people start to use tobacco because their friends do ............................	93.4	95.9	N.S.,25096:25270, 88884 ,11897014,Unavailable
 88884 ,Attitude about tobacco use: Smoking is relaxing,tobacco-use prevention programs,control,No significant difference,(9) Smoking is relaxing ........................ . .	87.2	90.2	N.S.,25357:25493, 88884 ,11897014,Unavailable
 88884 ,Attitude about tobacco use: Advertising tells the truth about the effects of tobacco use. ,tobacco-use prevention programs,control,No significant difference,(10) Advertising tells the truth about the effects of tobacco use. ............................	73.1	81.0	N.S.,25580:25759, 88884 ,11897014,Unavailable
 88884 ,Knowledge of tobacco use prevalence: What percentage of kids your age (5th graders) use tobacco every week,tobacco-use prevention programs,control,No significant difference,(11) What percentage of kids your age (5th graders) use tobacco every week ....	30.6	45.2	N.S.,28727:28901, 88884 ,11897014,Unavailable
 88884 ,Knowledge of tobacco use prevalence: What percentage of high school students (9th graders) use tobacco every week,tobacco-use prevention programs,control,No significant difference,(12) What percentage of high school students (9th graders) use tobacco every week .......	20.3	31.1	N.S.,28988:29172, 88884 ,11897014,Unavailable
 88884 ,Knowledge of tobacco use prevalence: What percentage of adults use tobacco every week ,tobacco-use prevention programs,control,Significantly increased,(13) What percentage of adults use tobacco every week ..................	4.8	33.9	p = 0.0313,29259:29420, 88884 ,11897014,Unavailable
 60660 ,folate levels,UVA radiation,control,No significant difference,We did not observe significant differences of folate levels between UV exposed and non-exposed volunteers (P &gt; 0.05).,10547:10664, 60660 ,11737876,Unavailable
 65676 ,produced data on a number of patients,postal questionnaires; Patient self-report (PSR),hospital records; Physiotherapy department records (PDR),Significantly increased,Data Collection Method PDR Mean (sd) PSR Mean (sd) pOverall n = 52 4.3 (2.8) 5.6 (3.9) 0.006,NaN:16068, 65676 ,11825347,Unavailable
 65045 ,self reported confidence scores,a 3 ½ hour workshop on Evidence Based Medicine (EBM),a workshop on bioethics (control intervention),No significant difference,"The 2nd phase of the study revealed no differences in test scores (p = 0.74) or self reported confidence scores (p = 0.36),",17707:17831, 65045 ,11818036,Unavailable
 65045 ,The Likert scale (1–10) to determine student's self-perceived confidence in reading medical research.,a 3 ½ hour workshop on Evidence Based Medicine (EBM),a workshop on bioethics (control intervention),No significant difference,"Student self-perception of confidence tended to increase slightly during the trial, although not to a level that was statistically significant (See Table 4).",18504:18700, 65045 ,11818036,Unavailable
 59604 ,Mortality and hospitalization,losartan 50 mg once daily,captopril 50 mg three times daily,Significantly decreased,"Mortality and hospitalization were secondary endpoints, and there was an unexpected 46% lower (P &lt; 0.05) mortality from all causes as well as significantly fewer hospitalizations in the losartan group.",5692:5910, 59604 ,11714415,Unavailable
 59604 ,sudden deaths or resuscitated cardiac arrests,losartan 50 mg once daily,captopril 50 mg three times daily,No significant difference,"There were 142 and 115 sudden deaths or resuscitated cardiac arrests in the losartan and captopril groups, respectively (hazard ratio 1.24, 95% CI 0.97-1.59, P = 0.08).",7244:7429, 59604 ,11714415,Unavailable
 59604 ,mortality and hospitalization from all causes,losartan 50 mg once daily,captopril 50 mg three times daily,No significant difference,"The corresponding figures for the composite of mortality and hospitalization from all causes were 752 and 707 events, respectively (hazard ratio 1.07, 95% CI 0.96-1.18, P = 0.21).",7430:7626, 59604 ,11714415,Unavailable
 59604 ,tolerance,losartan 50 mg once daily,captopril 50 mg three times daily,Significantly increased,"Losartan was better tolerated than captopril in that significantly fewer patients discontinued prematurely owing to adverse events, excluding deaths, in the losartan group (9.7% compared with 14.7%, P = 0.001).",7626:7854, 59604 ,11714415,Unavailable
 1382202 ,systolic and diastolic blood pressure after 6 months ,reducing salt intake,control (no reducing salt intake),Significantly decreased,"At six months the intervention group showed a reduction in systolic (2.54 mmHg [-1.45 to 6.54]) and diastolic (3.95 mmHg [0.78 to 7.11], p = 0.015) BP when compared to control.",26542:26720, 1382202 ,16433927,Unavailable
 1382202 , urinary sodium,reducing salt intake,There was no significant change in UNa.,No significant difference,This effect was not consistent with the effect observed on urinary sodium excretion (Table 3 and 4).,26542:26720, 1382202 ,16433927,Unavailable
 29050 ,predicting shock and organ failure up to 7 days in advance,the Systemic Mediator Associated Response Test (SMART) model,baseline plus serial data predictions,No significant difference,"ROC AUC values above 0.700 were achieved in 30 out of 49 (61%) of SMART baseline models in predicting shock and organ failure up to 7 days in advance, and in 30 out of 54 (56%) of baseline plus serial data models.",3929:4143, 29050 ,11056759,Unavailable
 1865086 ,visceral fat area,growth hormone (GH),placebo,Significantly decreased,"After 40 wk of treatment, visceral fat area declined 23.9 ± 7.4 cm2, a mean difference of −28.1 cm2 compared with placebo (95% confidence interval [CI] −49.9 cm2 to −6.3 cm2; p = 0.02) (Table 3).",33423:33734, 1865086 ,17479164,Unavailable
 1865086 ,visceral adipose tissue (VAT),"Recombinant human growth hormone (GH), pioglitazone (PIO)",placebo,Significantly decreased,"A similar decline in VAT was seen in the GH + PIO group versus placebo, with a mean difference of −31.4 cm2 (95% CI −56.5 cm2 to −6.3 cm2; p = 0.02).",33733:33933, 1865086 ,17479164,Unavailable
 1865086 ,Steady-State Plasma Glucose Response (SSPG),"Recombinant human growth hormone (GH), pioglitazone (PIO)",placebo,Significantly decreased,"Similarly, SSPG declined when both GH and PIO were combined, with a mean difference compared with placebo of −55.3 mg/dl (95% CI −103.9 to −6.7 mg/dl; p = 0.02).",35514:35693, 1865086 ,17479164,Unavailable
 1865086 ,glycohemoglobin levels,"Recombinant human growth hormone (GH) , pioglitazone (PIO)",baseline,No significant difference,"However, mean glycohemoglobin levels for all groups did not change significantly during follow-up.",39023:39121, 1865086 ,17479164,Unavailable
 1820788 ,The Kaplan-Meier survival curve,amodiaquine plus placebo,amodiaquine plus artesunate,No significant difference,The Kaplan-Meier survival estimates were similar in the two study groups for both crude (P = 0.9) and PCR-corrected (P = 0.3) results.,-1:-1, 1820788 ,17328806,Unavailable
 1820788 ,"gametocyte carriage on Day 4, 7, 14, 21",amodiaquine plus artesunate,amodiaquine plus placebo,Significantly decreased,"The differences in gametocyte carriage between groups was statistically significant on Day 4 (OR = 0.1 95%CI 0.02–0.6), Day 7 (OR = 0.2 95%CI 0.04–0.9), Day 14 (OR = 0.09 95%CI 0–0.8), and Day 21 (OR 95% CI 0–0.9) (Figure 2).",24351:24614, 1820788 ,17328806,Unavailable
 111183 ,peak tidal expiratory flow (PTEF),nebulized albuterol (0.15 mg/kg in 3 ml saline),saline (3 ml),No significant difference,PTEF increased significantly both after albuterol and saline treatments but the difference between the two treatments was not significant (P = 0.6).,4503:4669, 111183 ,11983043,Unavailable
 111183 ,tidal expiratory flows at 10% (TEF10),nebulized albuterol (0.15 mg/kg in 3 ml saline),saline (3 ml),Significantly decreased,Both TEF10 and the ratio of the tidal expiratory flow at 25% of the remaining tidal volume to PTEF (25/PT) decreased significantly (P &lt; 0.05) after administration of albuterol.,4669:4862, 111183 ,11983043,Unavailable
 111183 ,ratio of the tidal expiratory flow at 25% of the remaining tidal volume to PTEF (25/PT),nebulized albuterol (0.15 mg/kg in 3 ml saline),saline (3 ml),Significantly decreased,Both TEF10 and 25/PT significantly decreased after albuterol administration (P &lt; 0.05).,16679:16785, 111183 ,11983043,Unavailable
 111183 ,fraction of tidal volume exhaled at peak tidal expiratory flow (PTEF) to total tidal volume (VPTEF/VE) and the fraction of exhaled time at PTEF to total expiratory time (tPTEF/tE),nebulized albuterol (0.15 mg/kg in 3 ml saline),saline (3 ml),No significant difference,There were no significant changes in VPTEF/VEand tPTEF/tE either with albuterol or with saline (Table 3).,16785:17044, 111183 ,11983043,Unavailable
 1794625 ,sleep latency,autoadjusting CPAP (APAP) and Expiratory pressure relief (C-Flex),standard CPAP,No significant difference,"Pressure was 11 ± 2&nbsp;cm/H2O. APAP with C-Flex was as effective as CPAP, with no differences detected in sleep latency (17 ± 5 vs 12.3 ± 3&nbsp;min, p = 0.4),",4022:4201, 1794625 ,17053928,Unavailable
 1794625 ,respiratory indices,autoadjusting CPAP (APAP) and Expiratory pressure relief (C-Flex),standard CPAP,No significant difference,"Pressure was 11 ± 2&nbsp;cm/H2O. APAP with C-Flex was as effective as CPAP, with no differences detected in sleep latency (17 ± 5 vs 12.3 ± 3&nbsp;min, p = 0.4), or respiratory indices (AHI of 4.2 ± 2 vs 2.4 ± 0.7&nbsp;events/h, p = 0.1).",4022:4291, 1794625 ,17053928,Unavailable
 1794625 ,patient satisfaction,autoadjusting CPAP (APAP) and Expiratory pressure relief (C-Flex),standard CPAP,No significant difference,"However, when Mean VAS scores were calculated for individual patients and compared using a paired t test, a trend towards an increased score was noted in the C-Flex group (7.9 vs 7.2, p = 0.07, Fig.&nbsp;4a). Fig.&nbsp;3",18404:18709, 1794625 ,17053928,Unavailable
 1865087 ,resistin concentration and ascorbic acid level,2 g of ascorbic acid orally,baseline,Significantly decreased,"In the experimental group, vitamin C supplementation was significantly associated with both resistin concentration reduction (from 4.3 ± 1.5 to 2.9 ± 0.8 ng/ml; 95% confidence interval [CI] −1.87, −1.03) and ascorbic acid level increase (from 9.4 ± 2.9 to 19.0 ± 5.2 mg/l; 95% CI 7.9, 11.2).",6312:6396, 1865087 ,17479165,Unavailable
 1865087 ,"ascorbic acid level, resistin concentration",no supplementation,baseline,No significant difference,"In the control group, resistin levels did not change significantly (from 4.2 ± 1.0 to 4.3 ± 0.9 ng/ml; 95% CI −0.07, 0.37).",6187:6312, 1865087 ,17479165,Unavailable
 1865087 ,resistin concentration,2 g of ascorbic acid orally,no supplementation,Significantly decreased,The between-group differences were highly significant (p &lt; 0.001).,6312:6396, 1865087 ,17479165,Unavailable
 1783850 ,"Non apoptotic non necrotic cells (annexin negative, PI negative) (%)",moderate hypothermic (ModHT group),mild hypothermic (MiHT group),Significantly decreased,"Non apoptotic non necrotic cells (annexin negative, PI negative) (%)	73.86 ± 18.49/67.28 ± 16.40	51.20 ± 23.88/71.71 ± 11.35 a 0.002/0.307",22521:22744, 1783850 ,17241480,Unavailable
 1783850 ,"Early apoptotic cells (annexin positive, PI negative) (%)",moderate hypothermic (ModHT group),mild hypothermic (MiHT group),Significantly increased,"Early apoptotic cells (annexin positive, PI negative) (%)	16.45 ± 13.36/20.70 ± 12.21	33.21 ± 17.85/17.62 ± 8.06 a	0.003/0.180",22521:22744, 1783850 ,17241480,Unavailable
 1326200 ,"systolic and diastolic blood pressure, oxygen saturation, heart rate, and respiratory rate",mannitol (M),hypertonic (4.5%) saline (HS),No significant difference,"There were no statistically significant carryover effects for any of the baseline, end challenge, or recovery values for systolic and diastolic blood pressure, oxygen saturation, heart rate, and respiratory rate, either at the end of challenge or at recovery (p &gt; 0.2) (Table 5).",44232:44553, 1326200 ,16336673,Unavailable
 59901 ,questions previously rated as mis-specified,"brief explanation of proper formulation, written instructions, and diagrammatic examples",baseline,Significantly decreased,"On follow-up, 7/14 questions previously rated as mis-specified in the Intervention Group had all dimensions described at follow-up (p = 0.008) while the Control Group did not show any changes from baseline.",4940:5163, 59901 ,11716797,Unavailable
 59901 ,questions previously rated as mis-specified, no instruction,baseline,No significant difference,"On follow-up, 7/14 questions previously rated as mis-specified in the Intervention Group had all dimensions described at follow-up (p = 0.008) while the Control Group did not show any changes from baseline.",4940:5164, 59901 ,11716797,Unavailable
 59901 ,"explicitly describe patients , comparisons, and outcomes","brief explanation of proper formulation, written instructions, and diagrammatic examples",no instructions,Significantly decreased,"On the other hand, participants in the Intervention Group were statistically significantly more likely to explicitly describe patients (p = 0.028), comparisons (p = 0.014), and outcomes (p = 0.008) on follow-up.",33258:33521, 59901 ,11716797,Unavailable
 1810369 ,headache status (HIT),program of Tai Chi instruction,wait-list control group,Significantly increased,"Statistically significant (P &lt; 0.05) improvements in favor of the intervention were present for the HIT score and the SF-36 pain, energy/fatigue, social functioning, emotional well-being and mental health summary scores.",3910:4147, 1810369 ,17342248,Unavailable
 1810369 ,"physical functioning , role limitations due to physical health , vitality , social functioning  and the PCS",program of Tai Chi instruction at the baseline,wait-list control group at the baseline,Significantly decreased,"There were five significant differences in which the control group scored higher at baseline than the intervention group (see Fig. 2): physical functioning (t = 2.98, P = 0.0083, df = 17), role limitations due to physical health (t = 4.21, P = 0.002, df = 28), vitality (t = 2.57, P = 0.0157, df = 28), social functioning (t = 2.59, P = 0.0151, df = 28) and the PCS (t = 3.24, P = 0.0031, df = 28).",17138:17744, 1810369 ,17342248,Unavailable
 1784583 ,The median time to first relief of symptoms ,butoconazole nitrate 2% Site Release vaginal cream (Gynazole-1),oral fluconazole 150 mg tablets (Diflucan),Significantly decreased,The median time to first relief of symptoms occurred at 17.5 h for butoconazole patients as compared to 22.9 h for fluconazole patients (p &lt; 0.001).,2587:2736, 1784583 ,16338779,Unavailable
 1784583 ,number of patients reported first relief of symptoms by 12- and 24-h post-treatment,butoconazole nitrate 2% Site Release vaginal cream (Gynazole-1),oral fluconazole 150 mg tablets (Diflucan),Significantly increased,"By 12- and 24-h post-treatment, 44.4% and 72.8% of patients in the butoconazole treatment group reported first relief of symptoms versus 29.1% and 55.7% of patients in the fluconazole group (p = 0.044 and p = 0.024 respectively).",3379:3546, 1784583 ,16338779,Unavailable
 1784583 ,time to total relief of symptoms or reoccurrence of infection within 30 days of treatment,butoconazole nitrate 2% Site Release vaginal cream (Gynazole-1),oral fluconazole 150 mg tablets (Diflucan),No significant difference,There were no significant differences between the two groups with respect to time to total relief of symptoms or reoccurrence of infection within 30 days of treatment.,3379:3546, 1784583 ,16338779,Unavailable
 1794254 ,urine sodium excretion ,Urodilatin,baseline,Significantly increased,URO transiently increased urine sodium excretion from 22 ± 16 μmol/min (mean ± SD) to 78 ± 41 μmol/min (P &lt; 0.05) and there was no effect of placebo (29 ± 14 to 44 ± 32).,14241:14361, 1794254 ,17257428,Unavailable
 1794254 ,urine sodium excretion,placebo,baseline,No significant difference,there was no effect of placebo (29 ± 14 to 44 ± 32).,14241:14361, 1794254 ,17257428,Unavailable
 1794254 ,urine flow and blood pressure,Urodilatin,baseline,No significant difference,URO had no effect on urine flow or on blood pressure.,4333:4386, 1794254 ,17257428,Unavailable
 1794254 ,urine sodium excretion ,Urodilatin,placebo,No significant difference,"At the end of the study, there was no difference between URO and placebo (fig. 2).",14241:14361, 1794254 ,17257428,Unavailable
 1794254 ,serum cGMP,Urodilatin,baseline,Significantly increased,URO infusion markedly increased serum cGMP (P &lt; 0.01) (fig. 5).,15410:15530, 1794254 ,17257428,Unavailable
 1190216 ,ovulation rate,2 ml of alpaca seminal plasma intramuscularly,2 ml of alpaca seminal plasma intrauterine ,Significantly increased,"The ovulation rate in the intramuscular group (93%) was higher (P &lt; 0.01) than in the intrauterine group (41%),",15335:15446, 1190216 ,16018817,Unavailable
 1190216 ,follicle in diameter ,2 ml of alpaca seminal plasma intramuscularly,2 ml of alpaca seminal plasma intrauterine ,No significant difference,"Of the alpacas that ovulated, the diameter of the CL did not differ among groups.",15509:15590, 1190216 ,16018817,Unavailable
 1914073 ,improvement of GHbA1c after three months,paroxetine 20 mg per day,baseline,Significantly increased,"After three months there was a statistically significant improvement in GHbA1c in the paroxetine group (mean change from baseline = 0.69%-units, p = 0.001) but not in the placebo group (mean change = 0.11%-units, p = 0.33) (Figure 2).",17903:18186, 1914073 ,17570858,Unavailable
 1914073 ,improvement of GHbA1c after three months,placebo,baseline,No significant difference,"After three months there was a statistically significant improvement in GHbA1c in the paroxetine group (mean change from baseline = 0.69%-units, p = 0.001) but not in the placebo group (mean change = 0.11%-units, p = 0.33) (Figure 2).",17903:18186, 1914073 ,17570858,Unavailable
 1914073 ,improvement of GHbA1c after six months,paroxetine 20 mg per day,placebo,No significant difference,"At the end of the trial the change from baseline was no longer significant in the paroxetine group (mean change = 0.38%-units, p = 0.10) and there was no significant difference between groups (Table 2).",18368:18609, 1914073 ,17570858,Unavailable
 1914073 ,anxiety and depressive symptoms according to the HADS,paroxetine 20 mg per day,placebo,No significant difference,"However, no statistically significant difference between paroxetine- and placebo-treated participants was detected at any time point (Table 3).",27478:27660, 1914073 ,17570858,Unavailable
 1914073 ,"body weight, BMI, serum glucose, serum c-peptide , and serum SHBG",paroxetine 20 mg per day,placebo,No significant difference,"There was no significant difference between the groups regarding body weight or BMI. Neither was any difference detected in serum glucose, serum c-peptide or serum SHBG.",27661:27830, 1914073 ,17570858,Unavailable
 1976842 ,The relapse free survival (RFS),"mantle radiotherapy followed by 6 courses of adjuvant chemotherapy with mustine, vinblastine, prednisolone and procarbazine- MVPP",mantle radiotherapy alone,Significantly increased,The relapse free survival (RFS) was 81%; 69% for radiotherapy alone and 93% for adjuvant chemotherapy (P = 0.002).,2862:2976, 1976842 ,6375711,Unavailable
 1976842 ,The overall 5 year survival,"mantle radiotherapy followed by 6 courses of adjuvant chemotherapy with mustine, vinblastine, prednisolone and procarbazine- MVPP",mantle radiotherapy alone,No significant difference,The overall 5 year survival was 93% with no statistically significant difference between the two treatment groups (P = 0.54).,3390:3516, 1976842 ,6375711,Unavailable
 1177952 ,creatinine kinase MB-fraction (CK-MB),glucose-insulin-potassium infusion (GIK),no infusion,No significant difference,There were no differences between the two groups in the time course or magnitude of CK-MB release: the peak CK-MB level was 249 ± 228 U/L in the GIK group and 240 ± 200 U/L in the control group (NS).,6376:6576, 1177952 ,15932638,Unavailable
 1177952 ,mean left ventricular ejection fraction (LVEF),glucose-insulin-potassium infusion (GIK),no infusion,No significant difference,The mean LVEF was 43.7 ± 11.0 % in the GIK group and 42.4 ± 11.7% in the control group (P = 0.12).,25784:25882, 1177952 ,15932638,Unavailable
 1177952 ,frequency of a LVEF ≤ 30%,glucose-insulin-potassium infusion (GIK),no infusion,Significantly decreased,"Treatment with GIK was associated with a lower frequency of a LVEF ≤ 30% (51 patients (12%) compared to 74 patients (18%), P = 0.01).",26156:26290, 1177952 ,15932638,Unavailable
 57750 ,Death or myocardial infarction,eptifibatide,placebo,Significantly decreased,Overall	14.2	15.7	0.042	13.3	14.9	0.021,28238:28415, 57750 ,11806794,Unavailable
 57750 ,Myocardial infarction,eptifibatide,placebo,No significant difference,Overall	12.6	13.6	0.137	11.6	12.7	0.08,29423:29599, 57750 ,11806794,Unavailable
 1887535 ,Gametocyte prevalence on day 21,sulphadoxine-pyrimethamine combination (AQ+SP) or artesunate plus amodiaquine combination (AQ+AS),sulphadoxine-pyrimethamine (SP),Significantly decreased,"On day-21, gametocyte prevalence in SP group was significantly higher than the two combinatory treatments (AQ+SP and AQ+AS).",29257:29381, 1887535 ,17519010,Unavailable
 1887535 ,Gametocyte prevalence on day 7 and 14,sulphadoxine-pyrimethamine combination (AQ+SP) or artesunate plus amodiaquine combination (AQ+AS) or chloroquine (CQ) or amodiaquine (AQ),sulphadoxine-pyrimethamine (SP),Significantly decreased,"CQ	4.7 (2/42)	12.5 (3/24)*	4.2 (1/24)*	6.6 (1/15)	0 (0/15)AQ	12.8 (5/39)	13.1 (5/38)*	10.5 (4/38)*	9.6 (3/31)	0 (0/30)SP	10.2 (4/39)	44.4 (16/36)	33.3 (12/36)	17.1 (6/35)	6.1 (2/33)AQ+SP	2.4 (2/83)	3.8 (3/80)*	6.3 (5/80)*	1.3 (1/75)¶	1.3 (1/75)AQ+AS	3.6 (3/83)	2.5 (2/80)*	1.2 (1/79)*	1.5 (1/64)¶	0 (0/64)CQ, Chloroquine, AQ, amodiaquine; SP, Sulphadoxine-Pyrimethamine; AS, artesunate; 95% CI, 95% confidence interval.* On day 7 and day 14, significant difference to SP group (P &lt; 0.05)",30190:31460, 1887535 ,17519010,Unavailable
 1887535 ,"On day-28, the extent of haematological recovery (median of individual increases in Hb)",sulphadoxine-pyrimethamine combination (AQ+SP) or artesunate plus amodiaquine combination (AQ+AS) or chloroquine (CQ) or amodiaquine (AQ),sulphadoxine-pyrimethamine (SP),No significant difference,"On day-28, the extent of haematological recovery (median of individual increases in Hb) did not differ significantly between the five groups (CQ, 0.8 g/dl, -0.8 to 3.4; SP, 1.2 g/dl, -1.0 to 5.8; AQ, 0,9 g/dl, -3.6 to 4.1; AQ+SP, 0.5 g/dl, -4.4 to 5.8; AQ+AS, 1.1 g/dl, -2.6 to 5.2).",28535:28818, 1887535 ,17519010,Unavailable
 1887535 ,adequate clinical and parasitological response at 14-day follow-up,sulphadoxine-pyrimethamine combination (AQ+SP) or artesunate plus amodiaquine combination (AQ+AS) or sulphadoxine-pyrimethamine (SP) or amodiaquine (AQ),chloroquine (CQ) ,Significantly increased,ACPR (%) 25/39 (64.1) 38/38 (100)* 37/38 (97.4)* 80/81 (98.8)* 80/80 (100)*,22355:NaN, 1887535 ,17519010,Unavailable
 1887535 ,adequate clinical and parasitological response at 28-day follow-up,sulphadoxine-pyrimethamine combination (AQ+SP) or artesunate plus amodiaquine combination (AQ+AS) or sulphadoxine-pyrimethamine (SP) or amodiaquine (AQ),chloroquine (CQ) ,Significantly increased,ACPR (%)		20/36 (55.6)		35/36 (97.2)*		37/38 (97.4)*		76/79 (96.2)*		70/76 (92.1)*,25402:NaN, 1887535 ,17519010,Unavailable
 1166569 ,aerobic endurance,12-week exercise program,Baseline,Significantly increased,"The training program resulted in a significant increase in aerobic endurance (pre-training: 322 ± 104 m vs. post-training: 501 ± 99 m, p &lt; 0.05) and leg-press strength (pre-training: 48 ± 16 kg. vs. post-training: 78 ± 27 kg, p &lt; 0.05).",5173:5409, 1166569 ,15918901,Unavailable
 1166569 ,leg-press strength,12-week exercise program,Baseline,Significantly increased,"The training program resulted in a significant increase in aerobic endurance (pre-training: 322 ± 104 m vs. post-training: 501 ± 99 m, p &lt; 0.05) and leg-press strength (pre-training: 48 ± 16 kg. vs. post-training: 78 ± 27 kg, p &lt; 0.05).",5173:5409, 1166569 ,15918901,Unavailable
 1805771 ,I believe this treatment would decrease my low back pain,High Velocity Low Amplitude (HVLA),"placebo light touch (LT), and placebo sub-therapeutic ultrasound (ULTRA)",No significant difference,Repeated measures ANOVA revealed no significant differences for statements 2 and 4.,4686:4769, 1805771 ,17371579,Unavailable
